,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.4917662253793994,0.4749757830158218,0.5027445915402002,0.44656118824669033,0.5101711333548595
Sim Entropy,0.6409428479173394,0.6651598320955764,0.6641911527284469,0.6435259928963513,0.657733290280917
Rep Entropy,0.6942202131094608,0.7048756861478851,0.7171456247981918,0.7039070067807556,0.7090732967387795
Lap Score,0.4917662253793994,0.5237326444946723,0.5104940264772361,0.49047465288989345,0.5221181788827898
SPECtrum,0.6380368098159509,0.6806587019696481,0.6680658701969648,0.6218921536971262,0.6645140458508234
Mutual Corre,0.7013238618017437,0.7177914110429447,0.7229577010009687,0.6993865030674846,0.7090732967387795
MICI,0.49434937035841137,0.48466257668711654,0.5343881175330966,0.4824023248304811,0.53406522441072
MDCM,0.4917662253793994,0.49951566031643524,0.5414917662253794,0.47529867613819826,0.511785598966742
Linear Depend,0.6380368098159509,0.6545043590571521,0.657087504036164,0.6005812076202777,0.6645140458508234
MPMR,0.68324184694866,0.7190829835324507,0.7203745560219568,0.6906683887633194,0.7313529221827575
MCFS,0.6900226025185664,0.7303842428156281,0.7210203422667097,0.7090732967387795,0.7048756861478851
RSPCA,0.6997093961898612,0.7206974491443332,0.7219890216338392,0.6809815950920245,0.70810461737165
ANOVA F,0.7016467549241201,0.7229577010009687,0.7168227316758153,0.7152082660639328,0.7300613496932515
ReliefF,0.6887310300290603,0.7042298999031321,0.7006780755569907,0.6913141750080724,0.7048756861478851
Info Gain,0.7051985792702615,0.7400710364869229,0.7307071359380045,0.7132709073296739,0.7300613496932515
MRMR,0.6993865030674846,0.7232805941233452,0.7164998385534388,0.7106877623506619,0.7300613496932515
ERFS,0.7132709073296739,0.7319987084275105,0.7371649983855344,0.7187600904100743,0.7313529221827575
