Variance,Sim Entropy,Rep Entropy,SPECtrum,Lap Score,Mutual Corre,MICI,MDCM,Linear Depend,MPMR,MCFS,RSPCA,ANOVA F,ReliefF,Info Gain,MRMR,ERFS
29.13791631,720.1179851,0.638624042,5.16694163,4.18E-11,52.15354272,726.4290279,1.34E-08,55456.80044,125.3483697,1356.07408,7393.578392,5563.966582,1.366443052,1.716202476,317.1194618,72.46623561
29.10535175,718.1157773,0.768947685,5.459495025,4.00E-11,44.96510751,725.6239033,6.62E-07,58782.34297,105.6605386,1243.152191,6398.054895,5060.048395,1.271216904,1.57618002,303.3039531,72.4359531
28.97872277,686.0929013,0.839976021,5.480488226,3.76E-11,37.97683673,721.6671494,1.14E-06,57648.4555,100.4716489,1369.299653,6697.402467,3374.259238,0.84756768,1.117417895,218.1951071,74.27211734
29.24458993,701.4424521,0.81668831,5.277976873,3.34E-11,41.51791173,728.1055522,3.84E-06,58750.78141,98.44622533,1370.933744,6617.644142,4778.587684,1.176583243,1.48125662,290.4976799,72.57977828
29.0811296,702.6682605,0.791438627,5.116424485,3.38E-11,42.82994301,722.192152,9.59E-07,56884.15289,101.7432737,1255.173358,7524.777821,4451.232786,1.159961821,1.451884607,265.4999877,72.81866962
29.15522938,680.6418003,0.865304335,5.086433037,3.32E-11,37.83217317,725.102979,5.08E-06,58845.14115,93.265219,1367.866212,7180.535353,5414.691637,1.217091926,1.564699188,329.3804256,72.8150109
29.34572956,703.0514604,0.733467087,4.977139159,4.36E-11,46.710756,730.419136,1.02E-07,56428.61446,110.0633591,1380.188281,6931.114052,4533.701722,1.194448681,1.472255781,270.0484247,72.44292041
29.15863384,692.5929342,0.883854779,5.570872775,3.46E-11,38.81829266,725.9649064,2.66E-05,60149.87612,79.99292589,1252.431807,6056.196357,4355.341723,1.049195379,1.334349776,274.9009284,73.16794708
29.09190273,689.2609808,0.777102533,5.068989436,3.24E-11,42.38840698,722.9494316,8.10E-07,55641.86417,106.8747893,1359.624118,7526.258943,5744.354667,1.376975673,1.69756076,338.118639,72.4397311
29.23382273,701.4004544,0.797011363,5.18040842,3.24E-11,42.96876159,726.8669435,2.49E-06,57912.34348,97.72583837,1357.825748,7146.183036,4391.125581,0.996426836,1.438433032,267.5862538,73.06782592
29.3112423,706.7272963,0.667998833,5.361545289,4.22E-11,48.43715253,732.3044805,1.11E-08,56870.48069,126.3805529,1359.506037,5538.839261,5784.771276,1.310985083,1.732582751,335.3111405,72.41064704
29.24841202,701.9366667,0.783021486,5.254723007,3.63E-11,44.14338278,728.2231987,1.22E-06,57975.55113,103.4857685,1372.157307,6628.686366,5112.7486,1.287472769,1.575125541,304.3173543,72.42343904
29.105196,704.061164,0.874737854,5.165262192,3.18E-11,40.71326567,723.6510293,2.42E-05,60205.56016,82.89404986,1377.948201,6860.088386,5732.283978,1.313193059,1.643026858,341.9055457,72.4263952
29.05045534,679.4239004,0.867394856,5.396666145,3.39E-11,38.37092424,720.88682,4.53E-06,57589.60803,93.17186056,1236.847705,7470.325568,2498.718841,0.774531907,1.083972226,167.6473484,73.41307422
29.26622249,715.482596,0.716446084,5.219069664,4.17E-11,48.0718681,727.1332533,1.54E-07,57644.26345,105.8119513,1240.236228,6950.787961,5566.857738,1.292763322,1.632018964,321.4820468,72.48873388
29.19237372,691.7508595,0.774861096,5.467298652,3.99E-11,42.37573458,726.4340006,2.84E-07,57178.79286,106.0949305,1239.078245,6907.171241,3761.874937,1.076587794,1.298946734,230.691393,72.77561734
29.12194263,688.1021315,0.741956002,5.232930158,4.11E-11,42.72924516,722.8563753,1.38E-07,55011.44496,114.2283229,1344.224995,7820.761455,3614.610414,0.922057212,1.295826367,227.1859322,72.58519276
29.1577602,703.3979385,0.811446114,5.46192791,4.02E-11,43.12234302,725.3890307,2.13E-06,58823.23838,91.21573412,1360.782588,6695.381673,3288.113685,0.973920242,1.197663425,211.4718987,73.40347685
29.02742178,687.7902993,0.77637368,5.329559562,3.97E-11,40.79007045,722.9634663,1.99E-07,56624.9722,112.0462654,1370.688324,7089.499237,4084.149089,1.033577001,1.268819105,255.5459369,72.54393685
29.2100287,704.2551025,0.664189472,4.990427569,4.35E-11,48.28509305,726.6145479,1.68E-08,53142.97958,121.6865438,1366.024332,7958.342634,4679.467133,1.022737406,1.497848702,279.0287235,72.411834
29.2581791,702.2134379,0.711668149,4.891512293,4.19E-11,46.56460262,727.2715217,9.70E-08,55882.36862,108.6479708,1367.723088,7574.288361,5751.186947,1.322355066,1.647826485,332.6194142,72.403466
29.26127563,690.1990145,0.747657097,5.194940867,4.18E-11,43.30690676,727.6992968,2.59E-07,56662.49295,106.1562979,1354.591324,7485.935078,4340.244041,1.1389666,1.450146806,264.7257177,72.49566284
28.99225666,686.7294839,0.882200496,5.514142756,3.35E-11,38.28846554,720.201442,1.66E-05,59051.07271,87.64815222,1372.892654,6733.002822,4600.927131,1.045125251,1.381033802,291.4034741,72.44226812
29.16922185,694.2840357,0.853535961,5.219812774,3.04E-11,39.99849931,725.9260606,1.60E-05,58777.68114,89.55838304,1378.596258,7187.392311,4526.964586,1.2157936,1.488879091,280.6596962,72.44874831
29.18632315,721.4591801,0.643795067,5.427901002,4.38E-11,51.5258786,725.1035917,1.13E-08,56199.94256,123.2629767,1231.252795,6564.239018,5221.320642,1.172369646,1.64422748,296.4945322,72.86191602
29.10069654,697.6285995,0.859588051,5.049566851,3.60E-11,40.0256906,722.2907266,1.25E-05,57046.48161,89.1944734,1374.214659,7823.384077,3779.508323,0.932687214,1.229993873,241.5616261,72.63309098
29.17920272,688.6124164,0.816363459,5.139603779,3.69E-11,40.50247445,725.6129177,1.76E-06,56285.79723,105.4383837,1362.946101,7744.781847,3672.016637,0.810355439,1.296394618,235.6615224,72.64461424
29.04253994,699.7396564,0.823331694,5.563241161,3.11E-11,41.26716181,724.3347084,3.76E-06,59319.71837,98.0698103,1371.010871,6250.265444,3594.540673,1.016364616,1.279480352,227.2306728,73.18088359
29.14370038,682.6076056,0.88145465,5.199564439,3.45E-11,37.10357525,724.0045206,1.49E-05,59218.09274,86.86927811,1364.464767,7052.881759,4708.482467,0.966549254,1.378181939,291.8265899,72.54555893
29.20730632,702.5909008,0.704716134,4.982218223,4.06E-11,45.96502023,726.3702584,4.54E-08,53747.85135,121.4817544,1363.561716,7947.779459,4725.264031,0.823910248,1.500282217,282.9389623,72.53842759
29.12758179,717.928235,0.738393129,5.212359012,3.76E-11,47.16153676,721.8357156,5.16E-07,57335.83888,108.8459919,1240.214264,7583.902792,5529.737193,1.226458015,1.686881023,321.6064689,72.48207041
29.14016815,680.0411387,0.770012428,5.133439565,4.50E-11,41.28827662,723.4266792,1.55E-07,54957.46546,107.3580983,1345.645363,7668.001329,3898.199496,0.966749495,1.279812553,242.7528618,72.44906784
29.20665018,703.1283913,0.739745579,5.290341525,4.04E-11,44.20119797,728.7784184,7.87E-08,57340.00228,119.8148531,1358.017278,6770.750629,4872.228811,1.123155189,1.509505809,295.5979799,72.52239792
29.10444634,696.808502,0.707200589,5.008700484,4.42E-11,46.11842577,722.1495235,3.99E-08,53811.78345,118.2560921,1364.731669,7955.885066,3750.742408,1.005128821,1.288350569,229.2088771,72.48533991
29.13909808,697.5325012,0.855921806,5.371842309,2.77E-11,41.2510251,724.4218873,5.29E-06,60024.10478,88.74618729,1253.893121,6361.422691,5797.789703,1.3287494,1.706528078,343.7209676,72.5184306
29.07915088,676.5587185,0.79978074,5.264588812,4.05E-11,39.89626046,723.1361091,1.06E-06,56628.52381,97.48713786,1364.767301,7648.227778,4525.728155,1.206484489,1.440884271,279.7428933,72.51122761
