Unnamed: 0,svm,rft,lgn,knn,dtr
MPMR,0.034049706,0.102715551,0.015127503,0.136381099,0.019629104
MCFS,0.033809581,0.1278302,0.141286079,0.114483289,0.215823921
RSPCA,0.069780286,0.097337271,0.079623494,0.189156742,0.176469492
ANOVA F,0.543258498,0.715983577,0.740527305,0.806425279,0.684083889
ReliefF,0.523568259,0.690964969,0.674494552,0.691509797,0.644921903
Info Gain,0.542538124,0.702441836,0.714402347,0.794227815,0.615574468
MRMR,0.573322132,0.749309708,0.766748311,0.812091818,0.734359412
ERFS,0.854412301,0.883430575,0.89559622,0.759508261,0.878498615
Variance,0.006387168,0.07001873,0.131684477,0.10872854,0.003984439
Sim Entropy,0.305335448,0.166018346,0.262264379,0.268075401,0.067443925
Rep Entropy,0.361331222,0.390193538,0.493456601,0.496578224,0.38969761
SPECtrum,0.084137733,0.268357106,0.353703929,0.348517231,0.354615107
Lap Score,0.169748788,0.179067199,0.254485194,0.218627663,0.207425057
Mutual Corre,0.439033763,0.373769391,0.480681958,0.476119586,0.299124499
MICI,0.110983048,0.202324354,0.24276624,0.213086807,0.167346455
MDCM,0.317917689,0.302405995,0.420698766,0.366526596,0.358696727
Linear Depend,0.017384623,0.05028094,0.146332094,0.165686158,0.126676018
MPMR,0.349853529,0.262065986,0.399135553,0.319462123,0.249610551
MCFS,0.006771359,0.190942708,0.199063514,0.187633571,0.270844698
RSPCA,0.083561447,0.025548672,0.021755313,0.127122104,0.015257487
ANOVA F,0.691158818,0.819382417,0.850042028,0.822331618,0.804808168
ReliefF,0.738126114,0.809825677,0.811958224,0.823964467,0.78819014
Info Gain,0.732219184,0.802718152,0.847880904,0.824252617,0.74392399
MRMR,0.654804786,0.810257892,0.818345546,0.787561538,0.813408726
ERFS,0.770590216,0.901791293,0.952287196,0.849801903,0.854079162
Variance,0.239944292,0.125489255,0.155412546,0.178884434,0.269725919
Sim Entropy,0.376053604,0.309761078,0.385697824,0.347492017,0.271456199
Rep Entropy,0.260403913,0.361964224,0.379214297,0.374624824,0.312636861
SPECtrum,0.086593186,0.205642936,0.077946404,0.268926934,0.059818248
Lap Score,0.266079063,0.406003842,0.33996974,0.311752558,0.355244396
Mutual Corre,0.36659223,0.374594792,0.460906738,0.402814129,0.330532899
MICI,0.158345943,0.060175292,0.084958218,0.137200759,0.246589605
MDCM,0.212261661,0.329099031,0.297264849,0.330115738,0.2705234
Linear Depend,0.112960163,0.239692642,0.117952167,0.330732106,0.202739369
MPMR,0.323944005,0.402689401,0.380895211,0.496266239,0.348577246
MCFS,0.054318854,0.020122464,0.073383922,0.000384181,0.017599418
RSPCA,0.109982472,0.255396808,0.043127462,0.305712297,0.183508543
ANOVA F,0.54246813,0.634457923,0.714340609,0.766825944,0.665564525
ReliefF,0.436952195,0.489758678,0.645903378,0.562249383,0.597935299
Info Gain,0.512835298,0.575771405,0.677360491,0.713712874,0.566197022
MRMR,0.567394288,0.653235687,0.735952366,0.789252529,0.699082519
ERFS,0.824868537,0.870548692,0.913793113,0.790933323,0.828408583
Variance,0.138500697,0.290640996,0.230900412,0.190197166,0.252602212
Sim Entropy,0.125438218,0.159898178,0.194922795,0.279484169,0.197488049
Rep Entropy,0.205397878,0.249381598,0.352571048,0.308542069,0.18920257
SPECtrum,0.409643185,0.404428555,0.382592424,0.336495289,0.3425888
Lap Score,0.176096249,0.247412037,0.302620524,0.125465332,0.180331354
Mutual Corre,0.225519859,0.275655045,0.35122609,0.365553189,0.203780817
MICI,0.102530856,0.276951906,0.231380754,0.19086958,0.25695471
MDCM,0.160927821,0.240399634,0.328650015,0.250618387,0.170586464
Linear Depend,0.246266149,0.200917416,0.247616315,0.194567858,0.080599875
MPMR,0.151371081,0.207257626,0.283257693,0.275641802,0.151708158
MCFS,0.103635404,0.189822048,0.118644481,0.082226654,0.225543308
RSPCA,0.273399607,0.193856728,0.155678851,0.122379389,0.149191051
ANOVA F,0.382269607,0.389730795,0.518817423,0.64715066,0.498492138
ReliefF,0.432118333,0.464996774,0.585200691,0.630100156,0.553239223
Info Gain,0.392162514,0.405725416,0.499651776,0.621983156,0.441018186
MRMR,0.400422611,0.389202444,0.513965969,0.642779967,0.502162919
ERFS,0.844787018,0.821057211,0.87263736,0.7611729,0.76693115
Variance,0.13872808,0.375684525,0.144852388,0.329786495,0.17021529
Sim Entropy,0.451647115,0.444519191,0.437057105,0.354670603,0.226910963
Rep Entropy,0.284616008,0.350465963,0.266243785,0.2726203,0.213827346
SPECtrum,0.141274872,0.116101457,0.143458189,0.03905556,0.019368884
Lap Score,0.129077278,0.358357306,0.215296496,0.150442522,0.161073202
Mutual Corre,0.433387097,0.475453961,0.39624075,0.345975577,0.276936557
MICI,0.241176388,0.432126069,0.225715885,0.421492601,0.213057722
MDCM,0.168284517,0.273543907,0.244687663,0.210943521,0.197317224
Linear Depend,0.080824603,0.06124508,0.128650843,0.029111525,0.044766493
MPMR,0.188222337,0.200547614,0.286579848,0.226454994,0.232939688
MCFS,0.301674709,0.044240564,0.109660902,0.201618925,0.042393484
RSPCA,0.208596673,0.025698916,0.299175708,0.103956005,0.150782271
ANOVA F,0.729583801,0.494860245,0.596812991,0.636994745,0.543996266
ReliefF,0.496720526,0.405802694,0.495661506,0.35154808,0.510774141
Info Gain,0.692311545,0.449789862,0.507115722,0.647002354,0.45742449
MRMR,0.629105652,0.404313598,0.578592262,0.646026043,0.554578603
ERFS,0.759424513,0.740128777,0.695320306,0.64573781,0.598190659
