,LNR,RDR,LSR,GBR,RFR
SPECtrum,0.139591837,0.137959184,0.073030991,0.155918367,0.232653061
Lap Score,0.007346939,0.008979592,0.100205313,0.025306122,0.075918367
Mutual Corre,0.046530612,0.044897959,0.018682347,0.008979592,0.075918367
MICI,0.198367347,0.196734694,0.073030991,0.043265306,0.053061224
MDCM,0.134693878,0.133061224,0.081522967,0.026938776,0.017142857
Linear Depend,0.048163265,0.046530612,0.064539015,0.080816327,0.085714286
MPMR,0.008979592,0.007346939,0.025475927,0.074285714,0.007346939
MCFS,0.030204082,0.028571429,0.001698395,0.025306122,0.012244898
RSPCA,0.036734694,0.035102041,0.086618152,0.075918367,0.041632653
ANOVA F,0.195102041,0.193469388,0.533296073,0.066122449,0.025306122
ReliefF,0.33877551,0.337142857,0.594438298,0.147755102,0.025306122
Info Gain,0.198367347,0.2,0.319298286,0.115102041,0.084081633
MRMR,0.273469388,0.271836735,0.657278918,0.147755102,0.07755102
ERFS,0.728979592,0.730612245,0.326091866,0.521632653,0.353469388
Variance,0.224489796,0.224489796,0.241835234,0.180408163,0.152653061
Sim Entropy,0.111836735,0.111836735,0.037733157,0.008979592,0.155918367
Rep Entropy,0.056326531,0.056326531,0.041163444,0.090612245,0.186938776
SPECtrum,0.095510204,0.095510204,0.006860574,0.160816327,0.159183673
Lap Score,0.177142857,0.177142857,0.010290861,0.113469388,0.033469388
Mutual Corre,0.026938776,0.026938776,0.051454305,0.007346939,0.152653061
MICI,0.253877551,0.253877551,0.24012009,0.177142857,0.133061224
MDCM,0.136326531,0.136326531,0.113199471,0.095510204,0.168979592
Linear Depend,0.116734694,0.116734694,0.042878588,0.026938776,0.038367347
MPMR,0.062857143,0.062857143,0.001715144,0.022040816,0.155918367
MCFS,0.113469388,0.113469388,0.058314879,0.203265306,0.191836735
RSPCA,0.051428571,0.051428571,0.030872583,0.08244898,0.085714286
ANOVA F,0.022040816,0.022040816,0.488815898,0.022040816,0.007346939
ReliefF,0.14122449,0.14122449,0.490531041,0.071020408,0.062857143
Info Gain,0.036734694,0.036734694,0.255556382,0.093877551,0.144489796
