,LNR,RDR,LSR,GBR,RFR
ReliefF,0.701512605,0.701512605,0.756210389,0.56244898,0.405906363
Info Gain,0.577142857,0.577142857,0.554038376,0.462184874,0.406962785
MRMR,0.676254502,0.676254502,0.882882279,0.530180072,0.408019208
ERFS,0.941704682,0.941704682,0.695123486,0.867659064,0.706122449
Variance,0.244657863,0.244465786,0.136389369,0.075630252,0.016662665
Sim Entropy,0.20547419,0.204993998,0.24941709,0.036254502,0.139015606
Rep Entropy,0.157839136,0.158127251,0.049049766,0.00667467,0.061512605
SPECtrum,0.216902761,0.214981993,0.104933541,0.198943577,0.273469388
Lap Score,0.010036014,0.009267707,0.154613392,0.03452581,0.123841537
Mutual Corre,0.075726291,0.07515006,0.04318512,0.006962785,0.096182473
MICI,0.283937575,0.283553421,0.131445618,0.065930372,0.043937575
MDCM,0.175990396,0.175510204,0.106290649,0.046818727,0.002064826
Linear Depend,0.088979592,0.088883553,0.098148,0.136518607,0.122496999
MPMR,0.030108043,0.027611044,0.032231318,0.101944778,0.021080432
MCFS,0.044801921,0.044321729,0.007561031,0.031836735,0.021656663
RSPCA,0.065546218,0.06487395,0.120637221,0.104633854,0.064585834
ANOVA F,0.284033613,0.283841537,0.683837101,0.080528211,0.03577431
ReliefF,0.464969988,0.463721489,0.761289201,0.216518607,0.035390156
Info Gain,0.310540216,0.311308523,0.418667863,0.170804322,0.122016807
MRMR,0.400816327,0.400432173,0.81106599,0.216614646,0.12364946
ERFS,0.883409364,0.883793517,0.42084893,0.723313325,0.479183673
Variance,0.365282113,0.365282113,0.328675636,0.26607443,0.22909964
Sim Entropy,0.180408163,0.180408163,0.058464704,0.015606242,0.236110444
Rep Entropy,0.094837935,0.094837935,0.055111366,0.117503001,0.274621849
SPECtrum,0.096278511,0.096278511,0.013704943,0.224009604,0.21997599
Lap Score,0.238895558,0.238895558,0.009136629,0.136038415,0.048739496
Mutual Corre,0.033661465,0.033661465,0.074939795,0.013589436,0.225930372
MICI,0.395054022,0.395054022,0.331883176,0.247923169,0.189531813
MDCM,0.187995198,0.187995198,0.140645762,0.143145258,0.256662665
Linear Depend,0.178295318,0.178295318,0.088110148,0.034909964,0.069867947
MPMR,0.091380552,0.091380552,0.017738667,0.024729892,0.239663866
MCFS,0.205954382,0.205954382,0.080820284,0.312172869,0.288355342
RSPCA,0.101752701,0.101752701,0.037761492,0.116638655,0.111452581
ANOVA F,0.010036014,0.010036014,0.641945361,0.035870348,0.030492197
ReliefF,0.189243697,0.189243697,0.657399871,0.09454982,0.073517407
Info Gain,0.073229292,0.073229292,0.350302231,0.128835534,0.199231693
MRMR,0.088019208,0.088019208,0.804703709,0.054501801,0.01637455
ERFS,0.887539016,0.887539016,0.068864909,0.745882353,0.523841537
Variance,0.505114046,0.505114046,0.039480641,0.150732293,0.132484994
Sim Entropy,0.259255702,0.259255702,0.059100447,0.13392557,0.109435774
Rep Entropy,0.133829532,0.133829532,0.029405606,0.136038415,0.075342137
SPECtrum,0.136902761,0.136902761,0.039673465,0.39937575,0.328211285
Lap Score,0.153037215,0.153037215,0.167611954,0.210468187,0.05152461
Mutual Corre,0.021272509,0.021272509,0.007857564,0.148043217,0.097815126
MICI,0.516638655,0.516638655,0.082576726,0.080720288,0.053157263
MDCM,0.211428571,0.211428571,0.013112008,0.182040816,0.00120048
Linear Depend,0.126626651,0.126626651,0.062426655,0.092821128,0.071788715
MPMR,0.063817527,0.063817527,0.083348021,0.207779112,0.104537815
MCFS,0.358847539,0.358847539,0.0872527,0.283553421,0.279711885
RSPCA,0.117791116,0.117791116,0.205550006,0.265306122,0.036734694
ANOVA F,0.070348139,0.070348139,0.338791145,0.208259304,0.106266507
ReliefF,0.349051621,0.349051621,0.612359693,0.129507803,0.030396158
Info Gain,0.090420168,0.090420168,0.276991167,0.08302521,0.013397359
MRMR,0.094261705,0.094261705,0.442819502,0.190204082,0.11635054
ERFS,0.882929172,0.882929172,0.194462647,0.446818727,0.245618247
Variance,0.445454545,0.445454545,0.073397584,0.190909091,0.181818182
Sim Entropy,0.3,0.3,0.211018055,0.2,0.227272727
Rep Entropy,0.009090909,0.009090909,0.201843357,0.018181818,0.3
SPECtrum,0.018181818,0.018181818,0.137620471,0.3,0.263636364
Lap Score,0.336363636,0.336363636,0.155969867,0.518181818,0.063636364
Mutual Corre,0.181818182,0.181818182,0.266066243,0.072727273,0.236363636
MICI,0.454545455,0.454545455,0.266066243,0.027272727,0.136363636
MDCM,0.109090909,0.109090909,0.165144565,0.027272727,0.181818182
Linear Depend,0.181818182,0.181818182,0.266066243,0.081818182,0.1
MPMR,0.109090909,0.109090909,0.165144565,0.027272727,0.181818182
MCFS,0.581818182,0.581818182,0.082572282,0.663636364,0.290909091
RSPCA,0.145454545,0.145454545,0.174319263,0.381818182,0.154545455
ANOVA F,0.045454545,0.045454545,0,0.018181818,0.036363636
ReliefF,0.363636364,0.363636364,0.568831279,0.345454545,0.018181818
Info Gain,0.190909091,0.190909091,0.082572282,0.163636364,0.054545455
MRMR,0.181818182,0.181818182,0.073397584,0.063636364,0.163636364
ERFS,0.827272727,0.827272727,0.293590337,0.263636364,0.036363636
