Unnamed: 0,KMS,AGC,SPC,DBC,BIR
RSPCA,0.307746184,0.101605948,0.035963751,,0
Variance,0.038163434,0.150146699,0.181855983,,0.003614032
Sim Entropy,0.066371189,0.02502445,0.032987829,,0.074087648
Rep Entropy,0.124445979,0.184108453,0.16155578,,0.018070158
SPECtrum,0.383293617,0.125122249,0.115880324,,0.048789427
Lap Score,0.155972294,0.105460182,0.019454361,,0.124684091
Mutual Corre,0.077986147,0.205557981,0.08543002,,0.030719269
MICI,0.038163434,0.153721621,0.178472616,,0.007228063
MDCM,0.034844874,0.007149843,0.107421906,,0.0343333
Linear Depend,0.092919665,0.135847014,0.175089249,,0.030719269
MPMR,0.150994455,0.180533531,0.149713995,,0.057824506
MCFS,0.131083098,0.187683374,0.173397565,,0.037947332
RSPCA,0.152653735,0.035749214,0.131105476,,0.030719269
Variance,0.201222185,0.099028524,0.024783128,,0.104099091
Sim Entropy,0.164021445,0.26074483,0.007080894,,0.006685263
Rep Entropy,0.21644067,0.111747784,0.09736229,,0.182412168
SPECtrum,0.238422925,0.164441862,0.030093799,,0.058257289
Lap Score,0.443026996,0.077224079,0.238980167,,0.035336389
Mutual Corre,0.172476159,0.059053707,0.125685866,,0.224433819
MICI,0.207985956,0.093577413,0.014161788,,0.098368866
MDCM,0.005072828,0.309804833,0.060187598,,0.195782693
Linear Depend,0.213058784,0.218952976,0.019472458,,0.195782693
MPMR,0.136966361,0.157173713,0.012391564,,0.09645879
MCFS,0.270550837,0.266195942,0.493892345,,0.369599524
RSPCA,0.471773022,0.066321856,0.233669497,,0.044886764
