,KNN,AGG,SPEC,DBscan,BIRCH
Variance,0.5230769230769231,0.5794871794871795,0.7076923076923077,0.7538461538461538,0.6
Sim Entropy,0.5282051282051282,0.6666666666666666,0.7230769230769231,0.7538461538461538,0.5128205128205128
Rep Entropy,0.5384615384615384,0.6820512820512821,0.7076923076923077,0.7538461538461538,0.5692307692307692
Lap Score,0.5025641025641026,0.6820512820512821,0.6974358974358974,0.7538461538461538,0.6256410256410256
SPECtrum,0.6102564102564103,0.7025641025641025,0.6923076923076923,0.7538461538461538,0.5794871794871795
Mutual Corre,0.6,0.5282051282051282,0.7076923076923077,0.7538461538461538,0.6974358974358974
MICI,0.5230769230769231,0.5794871794871795,0.7076923076923077,0.7538461538461538,0.6
MDCM,0.6205128205128205,0.5282051282051282,0.7025641025641025,0.7538461538461538,0.6666666666666666
Linear Depend,0.6205128205128205,0.5282051282051282,0.6974358974358974,0.7538461538461538,0.6871794871794872
MPMR,0.517948717948718,0.558974358974359,0.6923076923076923,0.7538461538461538,0.6564102564102564
MCFS,0.5282051282051282,0.558974358974359,0.6923076923076923,0.7538461538461538,0.6051282051282051
RSPCA,0.5230769230769231,0.5076923076923077,0.7128205128205128,0.7538461538461538,0.5487179487179488
