,KMS,AGC,SPC,DBC,BIR
SPECtrum,0.387919938,0.31489975,0.177260177,0.280644465,0.320205568
Lap Score,0.018403733,0.133077201,0.068195462,0.225658511,0.151625765
Mutual Corre,0.38955369,0.106375316,0.292183938,0.184599131,0.115988667
MICI,0.081208455,0.076793813,0.341736193,0.196406944,0.07367076
MDCM,0.405747053,0.44187778,0.257894107,0.200110453,0.437394946
Linear Depend,0.452308977,0.403409776,0.293096412,0.237135929,0.398443886
MPMR,0.431935132,0.338431987,0.253187659,0.072466204,0.338168202
MCFS,0.170342646,0.093216473,0.18917037,0.031983096,0.076749437
RSPCA,0.389073174,0.293912837,0.073142034,0.096429515,0.278276745
Variance,0.105331415,0.018731989,0.280911562,0.208140234,0.001440922
Sim Entropy,0.192219026,0.042555237,0.236054082,0.221731302,0.060662826
Rep Entropy,0.334245927,0.030691644,0.392911179,0.235850644,0.038328531
SPECtrum,0.271373687,0.009942363,0.09658286,0.139608597,0.018347743
Lap Score,0.186167152,0.051296831,0.069447447,0.002977548,0.056868397
Mutual Corre,0.175264174,0.014841499,0.303820574,0.185328372,0.02982709
MICI,0.007556072,0.059106378,0.063252688,0.348581373,0.071832394
MDCM,0.187560044,0.042170991,0.266023105,0.142249971,0.047166188
Linear Depend,0.266522582,0.060806918,0.395936898,0.237675593,0.065802115
MPMR,0.359317974,0.037367917,0.522344699,0.207563935,0.037367917
MCFS,0.278482237,0.1173391,0.561198769,0.088462001,0.12901057
RSPCA,0.111623442,0.012632085,0.519367008,0.231912596,0.01229587
Variance,0.03828326,0.051004972,0.072850386,0.183088787,0.051004972
Sim Entropy,0.209717329,0.254640639,0.298076693,0.16988065,0.254640639
Rep Entropy,0.134495768,0.160315061,0.30864168,0.269542044,0.160315061
SPECtrum,0.111967726,0.185385301,0.173361827,0.257486618,0.185385301
Lap Score,0.275860426,0.046922653,0.177683867,0.167815378,0.046922653
Mutual Corre,0.221581777,0.24969383,0.320263165,0.185394207,0.24969383
MICI,0.1644649,0.17834916,0.224623288,0.010804455,0.17834916
MDCM,0.051924973,0.073049493,0.217782794,0.270166429,0.073049493
Linear Depend,0.101880544,0.106380426,0.395706775,0.24091641,0.106380426
MPMR,0.120613883,0.104171171,0.468605183,0.270646725,0.104171171
MCFS,0.302135135,0.161851934,0.446850915,0.084772222,0.161851934
RSPCA,0.082714897,0.166078335,0.366941197,0.139045655,0.166078335
Variance,0.20128369,0.230650999,0.213532552,0.052248662,0.230650999
Sim Entropy,0.12104904,0.116646663,0.121201941,0.14963863,0.116646663
Rep Entropy,0.27656677,0.07028586,0.03377129,0.201455087,0.07028586
SPECtrum,0.143307065,0.019745378,0.09521294,0.246404303,0.019745378
Lap Score,0.115136001,0.225750687,0.095068824,0.122121642,0.225750687
Mutual Corre,0.151912219,0.115637775,0.085364982,0.187336423,0.115637775
MICI,0.380133422,0.019531387,0.092640973,0.216418589,0.019531387
MDCM,0.116337838,0.082680769,0.144500769,0.0144068,0.082680769
Linear Depend,0.230848884,0.029209708,0.046069228,0.183446587,0.029209708
MPMR,0.19825506,0.110929631,0.10213053,0.156553894,0.110929631
MCFS,0.014998928,0.154744193,0.15420461,0.001968929,0.154744193
RSPCA,0.034949425,0.047898156,0.039007521,0.082070738,0.047898156
