,KMS,AGC,SPC,DBC,BIR
Lap Score,0.168923407,0.03110942,0.114425914,0.130221829,0.03110942
Mutual Corre,0.162363275,0.170283139,0.219043892,0.13513586,0.170283139
MICI,0.116283267,0.126114514,0.166765481,0.024230617,0.126114514
MDCM,0.049200992,0.029472082,0.138945752,0.187552194,0.029472082
Linear Depend,0.065601323,0.072042866,0.268083569,0.166258058,0.072042866
MPMR,0.093481886,0.057306826,0.326931182,0.192466225,0.057306826
MCFS,0.231244664,0.09987761,0.307315311,0.05651136,0.09987761
RSPCA,0.055761125,0.12280034,0.245198386,0.099099631,0.12280034
Variance,0.12041877,0.166669419,0.146843452,0.022885183,0.166669419
Sim Entropy,0.084128182,0.068145625,0.082855803,0.112791258,0.068145625
Rep Entropy,0.184752086,0.043514676,0.030353116,0.13567644,0.043514676
SPECtrum,0.105572621,0.022167854,0.048400914,0.155292311,0.022167854
Lap Score,0.077529893,0.148606724,0.068089422,0.089906075,0.148606724
Mutual Corre,0.108871765,0.068145625,0.073011549,0.129137817,0.068145625
MICI,0.262244241,0.010072688,0.050321902,0.144559519,0.010072688
MDCM,0.090726471,0.045156739,0.081215094,0.021250527,0.045156739
Linear Depend,0.155059787,0.028736107,0.017227444,0.119329881,0.028736107
MPMR,0.140213637,0.081282131,0.07137084,0.10788729,0.081282131
MCFS,0.011547005,0.112481332,0.073011549,0.009807935,0.112481332
RSPCA,0.0296923,0.03530436,0.031993825,0.070290204,0.03530436
