Unnamed: 0,SVM,RFC,LRC,KNN,DST
Linear Depend,0.047349396,0.052645984,0.049947133,0.050801152,0.030044892
MPMR,0.049010778,0.104456318,0.096564456,0.007495252,0.053413142
MCFS,0.427805942,0.301669846,0.482822282,0.42889497,0.140209497
RSPCA,0.250038036,0.06100249,0.236416428,0.292314824,0.013353285
ANOVA F,0.58563726,0.523952891,0.566067503,0.563809505,0.250374102
ReliefF,0.595605554,0.647629171,0.499471326,0.635430801,0.407275206
Info Gain,0.588369534,0.570146431,0.580456159,0.584868419,0.23795254
MRMR,0.490938469,0.395262707,0.554413172,0.510509936,0.181938514
ERFS,0.529150262,0.40027661,0.517785274,0.487191374,0.155231943
Variance,0.139315494,0.251883043,0.235630783,0.103237947,0.050203493
Sim Entropy,0.317839541,0.233411619,0.382473155,0.341869924,0.010040699
Rep Entropy,0.296149704,0.17631813,0.273195111,0.321560819,0.113794583
SPECtrum,0.074245982,0.021829864,0.076836125,0.140471305,0.326322701
Lap Score,0.085925125,0.104111658,0.21343368,0.236939551,0.07028489
Mutual Corre,0.314502643,0.167922028,0.356861113,0.345254774,0.127182181
MICI,0.130973249,0.199827214,0.162209597,0.120162201,0.123835282
MDCM,0.214395701,0.270354466,0.141719964,0.240324402,0.152283927
Linear Depend,0.104278065,0.112507759,0.011952286,0.201398618,0.090366287
MPMR,0.117625657,0.201506434,0.102448167,0.226784999,0.182406023
MCFS,0.40626734,0.203185654,0.300514622,0.431568468,0.304567855
RSPCA,0.21606415,0.021829864,0.240753191,0.377410856,0.162324626
ANOVA F,0.548085508,0.361032361,0.416622544,0.406182088,0.319628902
ReliefF,0.432962525,0.443314155,0.315881847,0.497573057,0.378199644
Info Gain,0.38958285,0.419805071,0.331249072,0.39433511,0.256037812
MRMR,0.411272687,0.243486941,0.326126663,0.48911093,0.354771347
ERFS,0.454652362,0.283788228,0.411500135,0.401104812,0.26942541
Variance,0.024359214,0.136300036,0.05862053,0.238214422,0.104000682
Sim Entropy,0.387227508,0.158311222,0.429034317,0.182462111,0.081653428
Rep Entropy,0.217552982,0.005926089,0.276111194,0.106436231,0.050711076
SPECtrum,0.153715041,0.105823009,0.097700884,0.131778191,0.25871244
Lap Score,0.18227412,0.298844178,0.226835966,0.214561927,0.088529506
Mutual Corre,0.325069513,0.122754691,0.389953963,0.165567471,0.07477735
MICI,0.059638076,0.099050337,0.102798321,0.25004067,0.098843623
MDCM,0.199073578,0.090584496,0.216641091,0.032099816,0.045554018
Linear Depend,0.18227412,0.105823009,0.186056466,0.045615528,0.078215389
MPMR,0.200753524,0.136300036,0.211543653,0.0422366,0.050711076
MCFS,0.106676559,0.281912496,0.230234257,0.314240302,0.174480483
RSPCA,0.128515854,0.104129841,0.187755612,0.270314238,0.095405584
ANOVA F,0.548502306,0.298844178,0.607444627,0.288898342,0.076496369
ReliefF,0.467864907,0.395354762,0.498699295,0.508528661,0.069620291
Info Gain,0.536818487,0.443366986,0.565967493,0.379681741,0.077609714
MRMR,0.330109351,0.188788248,0.420538588,0.391955645,0.098843623
ERFS,0.346908809,0.344559718,0.457919796,0.386887253,0.004297549
Variance,0.084919757,0.017197979,0.0900045,0.158450396,0.04703483
Sim Entropy,0.246267295,0.166820396,0.264870387,0.158450396,0.101037783
Rep Entropy,0.161347538,0.042994948,0.177437444,0.180480933,0.128910275
SPECtrum,0.101903708,0.00859899,0.016286529,0.055076341,0.026130461
Lap Score,0.246267295,0.233892515,0.278585358,0.244877885,0.097553722
Mutual Corre,0.200410626,0.113506661,0.247726672,0.155061083,0.106263875
MICI,0.12568124,0.001719798,0.103719472,0.177091619,0.001742031
MDCM,0.084919757,0.029236564,0.098576358,0.051687028,0.123684183
Linear Depend,0.033967903,0.036115756,0.0060003,0.043213744,0.013936246
MPMR,0.061142225,0.010318787,0.0900045,0.031351148,0.099295752
MCFS,0.349869398,0.244211302,0.258012901,0.297412241,0.001742031
RSPCA,0.319298286,0.163380801,0.273442244,0.248267199,0.090585599
ANOVA F,0.451773107,0.309563622,0.431164416,0.287244301,0.036582646
ReliefF,0.534994468,0.304404229,0.390019501,0.436374086,0.078391384
Info Gain,0.418332453,0.259349496,0.364528953,0.39441139,0.08756742
MRMR,0.361758164,0.154781811,0.29230033,0.385534387,0.027872492
ERFS,0.341377423,0.196056961,0.300872187,0.395702327,0.106263875
Variance,0.013437656,0.179828553,0.177203178,0.189466187,0.09078413
Sim Entropy,0.389692029,0.179828553,0.013631014,0.460132168,0.242091013
Rep Entropy,0.201564842,0.318158209,0.14994115,0.514265364,0.18156826
SPECtrum,0.147814218,0.262826347,0.14994115,0.162399589,0.211829636
Lap Score,0.013437656,0.152162622,0.504347506,0,0.242091013
Mutual Corre,0.362816716,0.318158209,0.040893041,0.487198766,0.27235239
