,linear,ridge,lasso,gradboost,randomforest
Variance,0.14938775510204083,0.1820408163265306,0.14938775510204083,0.1853061224489796,0.010612244897959184
Sim Entropy,0.04163265306122449,0.07428571428571429,0.04163265306122449,0.09714285714285714,0.17877551020408164
Rep Entropy,0.007346938775510204,0.02530612244897959,0.007346938775510204,0.14448979591836733,0.3469387755102041
SPECtrum,0.05469387755102041,0.008979591836734694,0.05469387755102041,0.08408163265306123,0.1363265306122449
Lap Score,0.05469387755102041,0.038367346938775505,0.05469387755102041,0.11510204081632652,0.05306122448979592
Mutual Corre,0.04,0.013877551020408163,0.04,0.13795918367346938,0.2751020408163265
MICI,0.09551020408163266,0.1346938775510204,0.09551020408163266,0.16734693877551018,0.005714285714285714
MDCM,0.04163265306122449,0.0008163265306122448,0.04163265306122449,0.04,0.22612244897959186
Linear Depend,0.17224489795918366,0.12979591836734694,0.17224489795918366,0.03183673469387755,0.19346938775510203
MPMR,0.07918367346938775,0.06938775510204082,0.07918367346938775,0.005714285714285714,0.13959183673469389
MCFS,0.14285714285714285,0.19836734693877553,0.14285714285714285,0.21306122448979592,0.29469387755102044
RSPCA,0.1346938775510204,0.1346938775510204,0.1346938775510204,0.08571428571428572,0.06775510204081632
ANOVA F,0.19836734693877553,0.2310204081632653,0.19836734693877553,0.2620408163265306,0.3893877551020408
ReliefF,0.15755102040816327,0.18040816326530612,0.15755102040816327,0.2669387755102041,0.3812244897959184
Info Gain,0.12326530612244897,0.1657142857142857,0.12326530612244897,0.21632653061224488,0.4220408163265306
MRMR,0.23428571428571426,0.276734693877551,0.23428571428571426,0.25551020408163266,0.36
ERFS,0.012244897959183673,0.05469387755102041,0.012244897959183673,0.2587755102040816,0.21306122448979592
Variance,0.07265306122448979,0.05142857142857143,0.06938775510204082,0.07102040816326531,0.23755102040816328
Sim Entropy,0.12326530612244897,0.22122448979591836,0.12326530612244897,0.04326530612244898,0.12816326530612246
Rep Entropy,0.12163265306122449,0.1542857142857143,0.12163265306122449,0.05469387755102041,0.0024489795918367346
SPECtrum,0.25551020408163266,0.2979591836734694,0.25551020408163266,0.008979591836734694,0.038367346938775505
Lap Score,0.04816326530612245,0.030204081632653063,0.044897959183673466,0.19673469387755102,0.12489795918367345
Mutual Corre,0.22448979591836735,0.29306122448979594,0.22448979591836735,0.030204081632653063,0.026938775510204082
MICI,0.09551020408163266,0.04163265306122449,0.09224489795918367,0.035102040816326535,0.1951020408163265
MDCM,0.07102040816326531,0.020408163265306124,0.07102040816326531,0.06775510204081632,0.026938775510204082
Linear Depend,0.022040816326530613,0.06448979591836734,0.022040816326530613,0.14122448979591837,0.14122448979591837
MPMR,0.038367346938775505,0.0024489795918367346,0.04163265306122449,0.03346938775510204,0.008979591836734694
MCFS,0.012244897959183673,0.07918367346938775,0.012244897959183673,0.10040816326530612,0.15918367346938775
RSPCA,0.06448979591836734,0.020408163265306124,0.061224489795918366,0.10857142857142857,0.22612244897959186
ANOVA F,0.11183673469387755,0.11836734693877553,0.11183673469387755,0.04979591836734694,0.020408163265306124
ReliefF,0.1657142857142857,0.12653061224489798,0.1657142857142857,0.11346938775510204,0.036734693877551024
Info Gain,0.07918367346938775,0.08897959183673469,0.07591836734693877,0.05142857142857143,0.017142857142857144
MRMR,0.11836734693877553,0.09224489795918367,0.11836734693877553,0.09877551020408164,0.04326530612244898
ERFS,0.008979591836734694,0.09387755102040816,0.008979591836734694,0.12816326530612246,0.18693877551020407
Variance,0.05795918367346938,0.17714285714285716,0.0563265306122449,0.015510204081632652,0.17714285714285716
Sim Entropy,0.11346938775510204,0.25551020408163266,0.11510204081632652,0.07918367346938775,0.06775510204081632
Rep Entropy,0.1526530612244898,0.31755102040816324,0.1510204081632653,0.017142857142857144,0.13795918367346938
SPECtrum,0.20489795918367348,0.34040816326530615,0.20326530612244897,0.04979591836734694,0.07265306122448979
Lap Score,0.061224489795918366,0.04816326530612245,0.06285714285714286,0.09061224489795917,0.05469387755102041
Mutual Corre,0.22612244897959186,0.34530612244897957,0.22775510204081634,0.038367346938775505,0.012244897959183673
MICI,0.11183673469387755,0.23755102040816328,0.11020408163265306,0.0008163265306122448,0.12653061224489798
MDCM,0.004081632653061224,0.17877551020408164,0.0024489795918367346,0.05795918367346938,0.21142857142857144
Linear Depend,0.11183673469387755,0.036734693877551024,0.11346938775510204,0.07591836734693877,0.11183673469387755
MPMR,0.036734693877551024,0.20816326530612245,0.038367346938775505,0.008979591836734694,0.19183673469387755
MCFS,0.08081632653061226,0.04163265306122449,0.08244897959183674,0.15918367346938775,0.08571428571428572
RSPCA,0.13306122448979593,0.16734693877551018,0.13142857142857142,0.09061224489795917,0.026938775510204082
ANOVA F,0.22122448979591836,0.19673469387755102,0.22285714285714286,0.05795918367346938,0.008979591836734694
ReliefF,0.16081632653061226,0.1461224489795918,0.16244897959183674,0.10530612244897959,0.05142857142857143
Info Gain,0.20416498231251054,0.1959983830200101,0.2057983021710106,0.07513271349100388,0.06859943405700354
MRMR,0.24081632653061225,0.18040816326530612,0.24244897959183673,0.12326530612244897,0.036734693877551024
ERFS,0.04653061224489796,0.04653061224489796,0.04816326530612245,0.17061224489795918,0.12000000000000001
