,KMS,AGC,SPC,DBC,BIR
Lap Score,0.097999192,0.079299257,0.130892106,0.186938776,0.017601174
Mutual Corre,0.047366276,0.171669819,0.010199385,0.010612245,0.225295032
MICI,0.033606738,0.072595061,0.034976621,0.065547353,0.052115261
MDCM,0.241731339,0.013071306,0.011899282,0.165714286,0.024641644
Linear Depend,0.076766033,0.164698456,0.003399795,0.208163265,0.019361292
MPMR,0.076766033,0.053156645,0.022098667,0.064489796,0.160170687
MCFS,0.11596571,0.002614261,0.093494361,0.151020408,0.01408094
RSPCA,0,0.220469362,0.03399795,0.271836735,0.116167751
Variance,0.085071639,0.094648094,0.068788864,0.124335472,0.083658052
Sim Entropy,0.013900264,0.039735971,0.07477735,0.080948596,0.066519011
Rep Entropy,0.054783393,0.081364131,0.097124604,0.035159491,0.191954859
SPECtrum,0.082583921,0.145698559,0.078215389,0.105478473,0.083623899
Lap Score,0.058054043,0.213817366,0.133224014,0.136549651,0.150142909
Mutual Corre,0.062960019,0.026490647,0.062744213,0.054783393,0.146341823
MICI,0.179655697,0.022780777,0.11210292,0.004101728,0.08961864
MDCM,0.200327332,0.172189206,0.03695892,0.035159491,0.186253229
Linear Depend,0.074407295,0.035951593,0.071339311,0.07604262,0.03611032
MPMR,0.002452988,0.005676567,0.140100092,0.087489896,0.127336392
MCFS,0.103843148,0.051089105,0.018049705,0.112019774,0.005701629
RSPCA,0.157808878,0.138129803,0.040396959,0.131643676,0.011403259
