,KNN,AGG,SPEC,DBscan,BRICH
Variance,0.511365302830327,0.8505645989147969,0.9611379967737205,0.6871975362956445,0.7895585863029769
Sim Entropy,0.5927555360023464,0.7308989587916117,0.9513125091655668,0.967737204868749,0.6015544801290512
Rep Entropy,0.5851297844258689,0.9680305030063059,0.6269247690277167,0.967737204868749,0.9680305030063059
Lap Score,0.6322041355037396,0.8743217480568999,0.8093562105880627,0.6801583809942807,0.8650828567238598
SPECtrum,0.9675905557999707,0.9674439067311923,0.636603607567092,0.9203695556533216,0.9674439067311923
Mutual Corre,0.5940753776213521,0.6087402844991935,0.5835166446693063,0.967737204868749,0.5795571198122892
MICI,0.9665640123185217,0.9675905557999707,0.9606980495673852,0.9431001613139757,0.9675905557999707
MDCM,0.5857163807009825,0.9675905557999707,0.9608446986361636,0.9429535122451972,0.9675905557999707
Linear Depend,0.656841179058513,0.8653761548614166,0.9650975216307377,0.8121425428948527,0.8540841765654789
MPMR,0.6908637630151049,0.9680305030063059,0.8188884000586596,0.59334213227746,0.9680305030063059
MCFS,0.6078603900865229,0.5964217627218067,0.825780906291245,0.4986068338466051,0.9674439067311923
RSPCA,0.6185657721073471,0.6012611819914944,0.9489661240651122,0.9004252822994574,0.7883853937527496
