Variance,Sim Entropy,Rep Entropy,SPECtrum,Lap Score,Mutual Corre,MICI,MDCM,Linear Depend,MPMR,MCFS,RSPCA
7.127912659069523e+19,3590.910158312987,0.5949815288916733,25.95887198083436,3.637482022045218e-11,223.80419738302626,5102.391605234048,2.8937086355208793e-85,217792.93488462796,216.45188436998873,3113.2500713110603,18693.70726656023
4.9696967892898726e+19,3639.392221175078,0.5424961703733171,26.313458672308045,2.822535352807478e-11,231.95743390279122,5086.085132194574,5.955253710765035e-88,204411.97408001428,245.64339485770822,3106.223971210898,21090.854493594867
6.107059171514735e+19,3644.181462997982,0.603043805441084,25.653507044348487,3.638536586074681e-11,232.21094977497998,5085.578100450099,3.2879063845938094e-74,214982.66542795865,206.49710965794887,2281.3917626937327,19303.57467891427
5.482417216251913e+19,3707.4981151538645,0.6047590529291904,26.393103596195346,3.7878727236424005e-11,234.28174273753257,5081.43651452497,9.675908370539635e-88,213858.9551022209,222.01657947978526,2281.639022623054,18961.267588356695
5.8847461122735776e+19,3479.835894104013,0.689789846522701,27.824639844438387,3.4078234418107774e-11,200.64867220677178,5148.702655586591,8.590398201050046e-66,208973.57032258506,197.07807551161753,3114.206750449037,23178.521784305853
5.3071052591545655e+19,3596.813376667704,0.6253297554330146,28.085921011611752,3.5593319346300365e-11,223.31967693399494,5103.360646132035,3.8350242483724303e-72,208175.0172737672,232.8452789118369,2282.135573787992,20925.633787841187
4.360179466585925e+19,3662.845041192736,0.5621676997718161,26.358076050126883,3.704435057297722e-11,232.40740461846332,5085.185190763117,9.488022330916907e-98,202274.01274000976,231.2470476006204,2286.7035665778335,22298.831590523612
6.072628347426035e+19,3508.115639852976,0.6119089487043095,28.682943784758898,3.343802762622593e-11,212.60282037137455,5124.794359257368,6.329734391689674e-94,200778.18940691496,217.0834205030173,2320.8806663180817,23562.109893124132
7.148988658426338e+19,3499.4392465318315,0.7023895575064065,26.300401471732435,3.6159834058015064e-11,198.8490561897243,5152.30188762063,4.694599244880579e-81,223622.93056522717,203.15694303905065,3107.382026946052,18008.813303298455
4.470191413453971e+19,3513.182911336467,0.6152951503666833,28.008780657277995,3.2978662461182636e-11,212.3928197763443,5125.214360447404,6.359265429076861e-72,201218.2568039508,213.5818498895766,3111.0741928075145,23720.54245778044
6.276160861772603e+19,3746.0097375008554,0.5437322871183259,26.51435301232333,3.658157695532559e-11,252.0211681969069,5045.957663606296,6.7643059546628686e-68,211972.90407381585,238.92981114859572,3112.388743541534,18068.84773851821
5.225149662303378e+19,3495.0102995176157,0.6316571529428554,27.865618203779903,2.6553694132176238e-11,207.43606748208268,5135.127865035955,5.798856832174609e-84,203838.87340172552,220.7207562345856,3109.9308795704164,22397.553987394316
6.265394553840684e+19,3750.183080164857,0.5931532472054144,25.216285767072854,3.679460327046472e-11,240.19276926372626,5069.614461472615,3.664756817575231e-101,218880.7832627635,224.0214834901046,2284.75734496004,14930.29878654173
6.321997258899983e+19,3513.6192926087724,0.6727099276335844,27.91596986563134,3.747764815062125e-11,213.40784587572887,5123.18430824866,2.254899855321439e-47,212339.38298857352,189.84360166533605,3103.559903396699,21721.229301317595
7.168324647462006e+19,3605.9628487608597,0.6496715517563887,26.31146339698172,3.8703233793191934e-11,227.76792290524403,5094.464154189627,6.38086664966287e-69,217153.76120148163,200.34263635242738,3111.3833351279022,18461.664795298937
7.094471734692222e+19,3791.4065077396076,0.5231432527095334,25.348947109157457,3.743708758104335e-11,252.25703920067133,5045.485921598634,6.397056465835508e-101,215003.02522358004,247.2607508976822,3109.3690995756365,15760.534343342886
7.156476815592653e+19,3669.2630553757344,0.5346906092271793,26.108138045069175,3.165065484967117e-11,238.49390052162872,5073.012198956847,9.254011027553302e-74,213835.23304221372,234.13628509166384,2327.6385020949574,18500.950926175774
5.199577338833753e+19,3655.7154295924943,0.632827334824694,26.5234146858949,3.547501909139313e-11,229.80601815903717,5090.387963681973,1.268017860372416e-92,211294.16806695503,236.4032564794741,3104.2914419217723,19405.28906157263
5.422433700042094e+19,3504.359308469645,0.6650584890069489,26.64354585739136,3.7251799915785685e-11,208.4146865296773,5133.170626940731,2.608154394017937e-82,211838.79185024573,201.01134171005017,3112.3198545489654,20319.870148287595
5.373091337084363e+19,3714.404006822681,0.5784772792034669,25.977768176395358,3.153077351299762e-11,238.2537495441057,5073.492500911836,1.4084558622537842e-67,215912.62090261152,225.77803714937664,3105.28610755,18896.774450811714
4.5540508067796206e+19,3619.601084669953,0.5915569835166803,25.783011278039563,3.5080201740317856e-11,226.03619287828823,5097.927614243563,8.437150475583039e-95,207420.36582648888,223.30332410162688,3113.7904035192832,21187.9989453284
6.335476952958921e+19,3588.833301304747,0.6267185167608771,26.156283970552856,3.5708328914320287e-11,219.72677818732336,5110.546443625444,3.719188336221543e-82,214959.68205287133,205.15323512458514,3113.6064649441546,20741.407401301363
6.4674262032030245e+19,3542.5074082728415,0.6835186948442606,26.886236254372257,3.6429747224827716e-11,204.64379498738026,5140.712410025346,3.6984213496249003e-79,216128.6393374072,199.9886598944556,3105.7381377946635,20180.467102802304
4.389768430294701e+19,3502.627800626941,0.6846469387216034,28.3497761891661,3.40317136012472e-11,202.56797684911876,5144.864046301802,2.0327053012349158e-81,202089.2991638238,210.28179813930916,2138.953234411801,24243.29489008435
6.036172708449521e+19,3463.432948824045,0.7119349969946249,26.911346158207763,3.745132233578657e-11,202.4873188328594,5145.0253623344315,5.888639521505843e-71,216975.4793229144,209.74420407502964,3113.4077039254535,20898.802927011526
5.2538874255562015e+19,3585.953929205802,0.6891526489737032,26.086757947744644,2.8843695026789877e-11,216.30967328074377,5117.38065343867,2.4306083935142926e-66,213720.43965605003,189.952035722893,3113.6525190315306,20524.842885736074
7.0989894377738764e+19,3496.413018634163,0.6502881458664156,27.659791143874948,3.425608565227532e-11,201.14392424862265,5147.712151502812,2.7943832291501745e-109,214339.69057452088,221.77696397153275,2270.4163405055665,17447.37491268092
5.442162084102609e+19,3734.5917670642543,0.5628537084006524,26.077154041498122,3.209888922841883e-11,247.8822795393149,5054.235440921362,1.6010189127544913e-58,209389.5416168452,239.73288208253072,2326.5971134421425,19667.428222259532
3.524034921683264e+19,3651.7195940663632,0.5705065932500961,25.944667196880516,2.9388898908664693e-11,236.04191267928329,5077.916174641534,2.5776710140288274e-71,200973.76360056363,233.54517353367808,3108.8151772247124,23396.510002397532
5.9775603361221706e+19,3618.423518016272,0.6280375563612166,26.477502756650203,3.7390615530127355e-11,226.98031720232316,5096.039365595444,9.682039010662927e-39,218147.3121850065,203.80033832118178,3108.1200882277312,20246.993150249156
5.159882359497012e+19,3579.9946653861625,0.6143223521049164,26.414734518115015,3.696242691735136e-11,226.642703749976,5096.7145925001305,2.3352913302530028e-57,211127.62008697088,208.78990865130552,3114.790146135471,20951.201076954945
5.194035121599896e+19,3714.225308367748,0.5358382082012678,28.426893596196138,3.6231478018324145e-11,244.25815573748432,5061.483688525059,4.1908816612361116e-89,205559.84562190625,251.09285945197834,2276.5289328008744,20549.206164967294
7.16741979420193e+19,3477.7269949982824,0.6433092236011317,27.443382280365114,3.5921772073198724e-11,203.3654051240504,5143.269189751997,3.19648477561632e-81,213856.29805835476,213.06632606186915,2326.305901280843,19927.640538871492
6.300783521466897e+19,3655.04575329764,0.5856936429465351,25.681694011598076,3.072729539321478e-11,230.25216517104118,5089.4956696579775,5.444527326006085e-96,212655.21137183957,223.03153642499518,2325.452430388031,17931.60645850274
6.079944269496469e+19,3446.450685459336,0.7272871368059066,27.549972462169997,3.630570657951293e-11,199.05778890045073,5151.884422199203,1.0015354509879979e-54,214665.19709455376,166.96176692375693,3112.49758572494,22133.44518040103
6.516164038197583e+19,3503.0819704762052,0.6784367434766967,28.19542137685586,3.635780881830456e-11,205.6008050863027,5138.798389827494,4.756271685501473e-72,217281.74734209522,200.130852718503,3111.2779998583555,20035.556344876637
5.18621879449695e+19,3639.883192372423,0.602879368608491,26.139895979295968,3.51672412605891e-11,234.15652585058749,5081.686948298955,1.2015901972664394e-80,213581.22175655072,215.5312671321223,3109.9568014488264,19511.115333446796
6.049644543078219e+19,3748.1165297767666,0.5558658729852217,26.43337003709258,3.6798158343610996e-11,243.9625572914787,5062.074885417158,1.7036172369319946e-72,213052.84361750938,237.61981811011037,3105.7182272631685,19355.408871450403
7.137102651780222e+19,3587.281491340797,0.5733659907901378,27.105923504247084,3.434466472672481e-11,222.55243324362192,5104.8951335127895,5.915058688149292e-104,212475.72394124462,233.33461245811327,2134.4182203188557,17543.35187564595
6.369710618841067e+19,3571.3015150471615,0.6109095961360378,27.501094998954287,3.7119628250489103e-11,227.3583448182529,5095.283310363582,7.170227343086747e-88,213675.2455411467,213.8663435008265,3112.6060721280223,19774.167871495272
6.358157798320045e+19,3668.6694696126174,0.5410566756666944,26.17894043226357,3.238747612716982e-11,243.79253680478456,5062.414926390494,2.6671402592566195e-80,206140.8297080903,221.1775767221881,978.4181249855833,19289.62301608714
7.1439273091151454e+19,3632.9445719895384,0.5762733145384074,26.451989639786625,3.7369833627230576e-11,230.20595750806635,5089.588084983941,1.1106070945625172e-83,215379.5199909,215.432199837204,3106.445008714398,17330.477477204033
4.061363404291152e+19,3664.216610075837,0.5783653947864567,26.338063426751475,3.434070551658251e-11,234.41463135266204,5081.170737294749,2.0952439300513518e-83,202932.61870214264,224.5106082087539,2323.899560206366,22480.4317025851
6.0036920509041115e+19,3553.310123392696,0.6231873648725266,27.48448684692908,3.570963471891233e-11,218.1938455802903,5113.612308839449,7.659586552725568e-89,213174.05902041297,209.8118883906044,3109.0307692484716,21410.39360736931
6.430792553117024e+19,3773.907569511802,0.5532186152813194,26.048077190139836,3.7127563613817355e-11,252.60039400180827,5044.7992119964765,8.390879635158601e-68,217272.1687386125,234.32853659028802,3110.016337908061,17928.422399332652
7.109901544788182e+19,3722.771572382254,0.5460867125595215,25.86526772541449,3.7222038568306086e-11,247.5169083472796,5054.9661833055825,5.182623131208686e-84,219191.89415887848,238.39811780067927,3103.4930140843903,16291.000546450556
5.423536326504912e+19,3598.083585336511,0.6060505688288824,26.799140172238396,3.556531500935433e-11,225.3502646543379,5099.2994706914105,1.0184882863276695e-73,212386.78228028578,219.84607779126583,3108.254975447632,20716.05155897481
5.28739232144731e+19,3667.896178228796,0.561396161399836,26.413161609877342,2.998759168927847e-11,232.88070388376744,5084.2385922324465,2.168701632442508e-98,211003.35561478022,230.06102457830872,3113.5805990319022,20380.52928183434
5.281835679606117e+19,3518.358759168602,0.654700951190911,27.398360095860482,3.546175133865715e-11,209.72935324191278,5130.541293516282,2.8850822149785053e-68,208949.255303778,194.66592349708267,3109.3636039447574,21605.543618654232
7.138411267555879e+19,3527.5784999166694,0.6335675807700376,26.839436304061287,3.579118679469574e-11,217.29652904190877,5115.40694191629,7.560787460189498e-89,215579.4046767874,215.70733483092974,3104.4806863328627,17409.02370888467
