Unnamed: 0,KMS,AGC,SPC,DBC,BIR
SPECtrum,0.013141933,0.111928142,0.266176695,0.301964903,0.143393336
Lap Score,0.114991915,0.020424843,0.151515965,0.177578277,0.098891956
Mutual Corre,0.113349173,0.205065428,0.221950413,0.081014974,0.075817166
MICI,0.147767479,0.134326117,0.315175054,0.2525181,0.056946936
MDCM,0.21027093,0.291666764,0.151515965,0.051554984,0.04450138
Linear Depend,0.031212091,0.077614405,0.308764966,0.148118286,0.092299159
MPMR,0.213556413,0.278594864,0.154791985,0.067921645,0.028019388
MCFS,0.027926608,0.041666681,0.153153975,0.272504913,0.003296399
RSPCA,0.172487872,0.275326889,0.272728736,0.148118286,0.039556782
Variance,0.046568643,0.079508864,0.128059255,0.166871515,0.080829038
Sim Entropy,0.041666681,0.081148222,0.236612796,0.049079857,0.09732476
Rep Entropy,0.201797453,0.007377111,0.17385528,0.155419548,0.001649572
SPECtrum,0.026960793,0.276231828,0.167070684,0.250307272,0.098974332
Lap Score,0.092320292,0.020491975,0.263751182,0.130879619,0.155059787
Mutual Corre,0.120098079,0.059836568,0.194209069,0.107975686,0.070931605
MICI,0.177504231,0.054651236,0.061419001,0.048897152,0.104294689
MDCM,0.21650334,0.002459037,0.160286088,0.160327534,0.028042727
Linear Depend,0.051470605,0.184427778,0.158589939,0.112883672,0.128666631
MPMR,0.22303929,0.000819679,0.150109193,0.147239572,0.047837594
MCFS,0.115196117,0.031967482,0.197601368,0.004907986,0.138564065
RSPCA,0.312908601,0.300822199,0.195905218,0.250307272,0.204546953
