Unnamed: 0,LNR,RDR,LSR,GBR,RFR
SPECtrum,0.371716687,0.104537815,0.371716687,0.194717887,0.030108043
Lap Score,0.173781513,0.241680672,0.173781513,0.304393758,0.179063625
Mutual Corre,0.370756303,0.081968788,0.370756303,0.203745498,0.032220888
MICI,0.139687875,0.10060024,0.139687875,0.048067227,0.070348139
MDCM,0.411668667,0.582809124,0.411668667,0.604417767,0.072172869
Linear Depend,0.544393758,0.309195678,0.544393758,0.389387755,0.15937575
MPMR,0.485522209,0.743385354,0.485522209,0.764609844,0.25214886
MCFS,0.261368547,0.313229292,0.261368547,0.308235294,0.387563025
RSPCA,0.011380552,0.203265306,0.011380552,0.242929172,0.122593037
ANOVA F,0.258487395,0.017527011,0.258487395,0.138247299,0.19394958
ReliefF,0.212196879,0.084273709,0.212196879,0.035870348,0.003889556
Info Gain,0.124801921,0.123457383,0.124801921,0.028379352,0.029339736
MRMR,0.291332533,0.122593037,0.291332533,0.252244898,0.274621849
ERFS,0.761728691,0.725714286,0.761728691,0.714189676,0.791404562
Variance,0.27270108,0.173781513,0.282881152,0.224105642,0.298247299
Sim Entropy,0.010228091,0.055462185,0.013205282,0.226122449,0.035966387
Rep Entropy,0.474669868,0.469195678,0.474669868,0.456038415,0.245810324
SPECtrum,0.062280912,0.042785114,0.066698679,0.174933974,0.010420168
Lap Score,0.114813926,0.190492197,0.112028812,0.22180072,0.015510204
Mutual Corre,0.107034814,0.124033613,0.10482593,0.310636255,0.096758703
MICI,0.423865546,0.173973589,0.433853541,0.279327731,0.213733493
MDCM,0.393901561,0.356254502,0.386986795,0.421560624,0.085522209
Linear Depend,0.354813926,0.415222089,0.357310924,0.480240096,0.307370948
MPMR,0.46785114,0.527010804,0.469003601,0.534501801,0.217959184
MCFS,0.222472989,0.280384154,0.231116447,0.214501801,0.349627851
RSPCA,0.274141657,0.169747899,0.284417767,0.227466987,0.304393758
ANOVA F,0.122593037,0.20182473,0.133541417,0.382472989,0.366914766
ReliefF,0.204705882,0.022328932,0.199519808,0.131140456,0.007154862
Info Gain,0.254741897,0.005618247,0.248403361,0.100696279,0.030876351
MRMR,0.186746699,0.221032413,0.198271309,0.378535414,0.415894358
ERFS,0.763553421,0.856422569,0.768739496,0.874285714,0.888019208
Variance,0.381896759,0.029243697,0.381896759,0.073517407,0.095606242
Sim Entropy,0.322833133,0.006578631,0.322833133,0.215846339,0.087442977
Rep Entropy,0.387659064,0.2472509,0.387659064,0.397647059,0.087923169
SPECtrum,0.365186074,0.0242497,0.365186074,0.135846339,0.051620648
Lap Score,0.079855942,0.192989196,0.079855942,0.470444178,0.162160864
Mutual Corre,0.211908764,0.026842737,0.211908764,0.301416567,0.105306122
MICI,0.471116447,0.031836735,0.471116447,0.061128451,0.009651861
MDCM,0.286626651,0.378439376,0.286626651,0.501752701,0.081008403
Linear Depend,0.436734694,0.48484994,0.436734694,0.493205282,0.181176471
MPMR,0.310348139,0.445954382,0.310348139,0.521152461,0.0072509
MCFS,0.399663866,0.219111645,0.399663866,0.136806723,0.430684274
RSPCA,0.383433373,0.016662665,0.383433373,0.062761104,0.100408163
ANOVA F,0.138439376,0.024537815,0.138439376,0.253973589,0.077070828
ReliefF,0.455366146,0.048451381,0.455366146,0.211332533,0.041920768
Info Gain,0.525186074,0.057767107,0.525186074,0.17214886,0.055078031
MRMR,0.008595438,0.053253301,0.008595438,0.271260504,0.109627851
ERFS,0.778439376,0.78545018,0.778439376,0.731668667,0.713613445
Variance,0.369863014,0.315068493,0.369863014,0.296803653,0.068493151
Sim Entropy,0.452054795,0.01369863,0.452054795,0.01369863,0.269406393
Rep Entropy,0.01369863,0.178082192,0.01369863,0.050228311,0.616438356
SPECtrum,0.333333333,0.150684932,0.333333333,0.01369863,0.095890411
Lap Score,0.01369863,0.141552511,0.01369863,0.269406393,0.442922374
Mutual Corre,0.324200913,0.04109589,0.324200913,0.086757991,0.360730594
MICI,0.342465753,0.296803653,0.342465753,0.406392694,0.050228311
MDCM,0.02283105,0.315068493,0.02283105,0.388127854,0.470319635
Linear Depend,0.570776256,0.488584475,0.570776256,0.497716895,0.214611872
MPMR,0.059360731,0.333333333,0.059360731,0.415525114,0.406392694
MCFS,0.589041096,0.196347032,0.589041096,0.342465753,0.598173516
RSPCA,0.369863014,0.315068493,0.369863014,0.296803653,0.068493151
ANOVA F,0.397260274,0.03196347,0.397260274,0.086757991,0.178082192
ReliefF,0.488584475,0.123287671,0.488584475,0.187214612,0.123287671
Info Gain,0.616438356,0.04109589,0.616438356,0.059360731,0.196347032
MRMR,0.141552511,0.01369863,0.141552511,0.068493151,0.223744292
ERFS,0.890410959,0.525114155,0.890410959,0.607305936,0.506849315
