,KNN,AGG,SPEC,DBscan,BRICH
Variance,0.6971428571428572,0.6914285714285714,0.6971428571428572,0.64,0.6885714285714286
Sim Entropy,0.7,0.7142857142857143,0.6742857142857143,0.64,0.7171428571428572
Rep Entropy,0.7,0.6914285714285714,0.6971428571428572,0.64,0.7171428571428572
Lap Score,0.7057142857142857,0.7171428571428572,0.6771428571428572,0.64,0.7142857142857143
SPECtrum,0.7028571428571428,0.7057142857142857,0.6714285714285714,0.64,0.7057142857142857
Mutual Corre,0.7085714285714285,0.6971428571428572,0.6857142857142857,0.64,0.7142857142857143
MICI,0.6828571428571428,0.6514285714285715,0.5085714285714286,0.64,0.6942857142857143
MDCM,0.5971428571428572,0.6514285714285715,0.5257142857142857,0.64,0.7114285714285714
Linear Depend,0.6514285714285715,0.6657142857142857,0.5314285714285715,0.64,0.6942857142857143
MPMR,0.7057142857142857,0.7171428571428572,0.7085714285714285,0.64,0.7171428571428572
MCFS,0.7114285714285714,0.7142857142857143,0.52,0.64,0.7171428571428572
RSPCA,0.7114285714285714,0.7171428571428572,0.6714285714285714,0.64,0.6914285714285714
