,KNN,AGG,SPEC,DBscan,BRICH
Variance,0.68,0.7,0.6514285714285715,0.64,0.6171428571428571
Sim Entropy,0.7028571428571428,0.7371428571428571,0.6114285714285714,0.64,0.5685714285714286
Rep Entropy,0.6885714285714286,0.68,0.5571428571428572,0.64,0.6742857142857143
Lap Score,0.68,0.7,0.6514285714285715,0.64,0.6171428571428571
SPECtrum,0.5771428571428572,0.6142857142857143,0.5257142857142857,0.64,0.6514285714285715
Mutual Corre,0.6885714285714286,0.68,0.5571428571428572,0.64,0.6742857142857143
MICI,0.8285714285714286,0.8,0.5514285714285714,0.64,0.7114285714285714
MDCM,0.8285714285714286,0.5057142857142857,0.5142857142857142,0.64,0.7257142857142858
Linear Depend,0.6342857142857142,0.6,0.6142857142857143,0.64,0.6828571428571428
MPMR,0.6314285714285715,0.6428571428571429,0.66,0.64,0.6285714285714286
MCFS,0.6971428571428572,0.6857142857142857,0.5228571428571429,0.64,0.5314285714285715
RSPCA,0.6685714285714286,0.6257142857142857,0.6714285714285714,0.64,0.62
