,KNN,AGG,SPEC,DBscan,BRICH
Variance,0.6942857142857143,0.6971428571428572,0.6428571428571429,0.64,0.6914285714285714
Sim Entropy,0.6828571428571428,0.6942857142857143,0.6285714285714286,0.64,0.6685714285714286
Rep Entropy,0.7142857142857143,0.7114285714285714,0.68,0.64,0.7142857142857143
Lap Score,0.6885714285714286,0.7114285714285714,0.6085714285714285,0.64,0.6657142857142857
SPECtrum,0.6057142857142858,0.5828571428571429,0.5285714285714286,0.64,0.6971428571428572
Mutual Corre,0.6942857142857143,0.6514285714285715,0.6457142857142857,0.64,0.6085714285714285
MICI,0.6571428571428571,0.62,0.6571428571428571,0.64,0.5914285714285714
MDCM,0.7485714285714286,0.7485714285714286,0.54,0.64,0.7571428571428571
Linear Depend,0.6685714285714286,0.6885714285714286,0.6857142857142857,0.64,0.6485714285714286
MPMR,0.66,0.6742857142857143,0.6228571428571429,0.64,0.6285714285714286
MCFS,0.7171428571428572,0.7257142857142858,0.6885714285714286,0.64,0.7171428571428572
RSPCA,0.6971428571428572,0.6914285714285714,0.6428571428571429,0.64,0.5514285714285714
