,KNN,AGG,SPEC,DBscan,BRICH
Variance,0.7028571428571428,0.7142857142857143,0.64,0.64,0.7142857142857143
Sim Entropy,0.7028571428571428,0.7142857142857143,0.6514285714285715,0.64,0.7114285714285714
Rep Entropy,0.7114285714285714,0.6914285714285714,0.6142857142857143,0.64,0.6885714285714286
Lap Score,0.7,0.6542857142857142,0.56,0.64,0.7142857142857143
SPECtrum,0.5514285714285714,0.5542857142857143,0.5228571428571429,0.64,0.5114285714285715
Mutual Corre,0.7114285714285714,0.6914285714285714,0.6142857142857143,0.64,0.6885714285714286
MICI,0.6742857142857143,0.6742857142857143,0.66,0.64,0.7
MDCM,0.6657142857142857,0.6028571428571429,0.5057142857142857,0.64,0.64
Linear Depend,0.6657142857142857,0.6971428571428572,0.5085714285714286,0.64,0.6828571428571428
MPMR,0.6685714285714286,0.6942857142857143,0.6542857142857142,0.64,0.7171428571428572
MCFS,0.7085714285714285,0.6885714285714286,0.6857142857142857,0.64,0.7057142857142857
RSPCA,0.7114285714285714,0.6914285714285714,0.6142857142857143,0.64,0.6885714285714286
