,KNN,AGG,SPEC,DBscan,BRICH
Variance,0.7,0.7114285714285714,0.6885714285714286,0.64,0.7085714285714285
Sim Entropy,0.7085714285714285,0.72,0.6914285714285714,0.64,0.72
Rep Entropy,0.7057142857142857,0.68,0.6857142857142857,0.64,0.7085714285714285
Lap Score,0.7142857142857143,0.72,0.6714285714285714,0.64,0.7142857142857143
SPECtrum,0.6971428571428572,0.6857142857142857,0.5028571428571429,0.64,0.7285714285714285
Mutual Corre,0.7057142857142857,0.7142857142857143,0.6914285714285714,0.64,0.6971428571428572
MICI,0.6914285714285714,0.7085714285714285,0.5171428571428571,0.64,0.68
MDCM,0.6657142857142857,0.7,0.52,0.64,0.7028571428571428
Linear Depend,0.6657142857142857,0.6714285714285714,0.5142857142857142,0.64,0.6685714285714286
MPMR,0.7114285714285714,0.7085714285714285,0.7,0.64,0.7114285714285714
MCFS,0.6971428571428572,0.7285714285714285,0.68,0.64,0.7285714285714285
RSPCA,0.7085714285714285,0.7085714285714285,0.6771428571428572,0.64,0.7085714285714285
