,KNN,AGG,SPEC,DBscan,BRICH
Variance,0.7114285714285714,0.7228571428571429,0.5171428571428571,0.64,0.7171428571428572
Sim Entropy,0.7114285714285714,0.7171428571428572,0.5171428571428571,0.64,0.6914285714285714
Rep Entropy,0.7114285714285714,0.7142857142857143,0.6685714285714286,0.64,0.7142857142857143
Lap Score,0.7114285714285714,0.7085714285714285,0.5114285714285715,0.64,0.7085714285714285
SPECtrum,0.7,0.7028571428571428,0.5114285714285715,0.64,0.72
Mutual Corre,0.7114285714285714,0.7171428571428572,0.5171428571428571,0.64,0.6914285714285714
MICI,0.7114285714285714,0.7228571428571429,0.5171428571428571,0.64,0.7171428571428572
MDCM,0.6771428571428572,0.72,0.52,0.64,0.7171428571428572
Linear Depend,0.6942857142857143,0.7171428571428572,0.5257142857142857,0.64,0.7057142857142857
MPMR,0.7114285714285714,0.7085714285714285,0.6714285714285714,0.64,0.7085714285714285
MCFS,0.7057142857142857,0.7114285714285714,0.52,0.64,0.7228571428571429
RSPCA,0.7085714285714285,0.7085714285714285,0.5114285714285715,0.64,0.6828571428571428
