Variance,Sim Entropy,Rep Entropy,SPECtrum,Lap Score,Mutual Corre,MICI,MDCM,Linear Depend,MPMR,MCFS,RSPCA
2.007770541400128,295.4560062565048,0.13392482115511806,2.049379961687357,1.9031708407503707e-13,5.3234364000294105,7.273708611724372,0.11349805107227429,1614.1762421683807,77.39641495095375,104.09686404117066,1731.6883353187975
1.7063613402628595,271.5800305586135,0.22474367132828688,2.231689854602324,2.669866661798253e-13,3.8511091206130463,7.010068435949668,0.3339433160430432,1683.690734243668,78.82686792438196,100.00691863858752,1733.9624218311276
2.0092527121439234,273.74385788623374,0.17381378186005403,2.109538951973009,2.081331381764235e-13,3.8289070102703353,8.545590766803812,0.15971988528354833,1624.0867013824395,77.38634367562146,98.39895599512477,1723.388516617485
1.9260317868800971,286.16000612686383,0.1872024289679155,2.1712519400773562,2.493105192087735e-13,4.2404995733372,7.607286529207403,0.27127826153403917,1616.718770896324,77.20006224735307,102.33559043838571,1731.3649022858835
2.035681115052129,293.98462287869404,0.1476425522189837,2.1527247135525154,2.212964367320121e-13,5.14822005803726,8.480814030743812,0.16709218998789327,1648.4957544996953,77.32903351957306,106.40490628222778,1726.52783443246
1.810458379098985,280.3778517810338,0.16464157147381675,1.8606456744831485,2.1717403530920178e-13,4.780894635135716,6.86662040584144,0.12211770635634794,1624.3813047608135,79.24402420807841,101.23195647200416,1724.7856344837062
1.76572567675194,273.71091856285057,0.2254558249547074,2.2463725855919043,2.7449860400249933e-13,3.0881466851473953,7.724032872972405,0.4739083562816833,1680.5436855437597,75.64571579497884,101.25057005861055,1738.2221927957573
2.0864897129412108,299.261138162542,0.12132436219664333,2.071301636960788,1.7540780881448916e-13,5.75603589625127,8.314454872402624,0.13593535335093526,1662.1798917788624,77.02531733583697,103.04029987153979,1723.1000778922066
1.8880280014696178,267.3801731971763,0.21878865597254604,2.4121390913286422,1.5454475456312128e-13,3.6942617078358846,8.45974449963261,0.3650122449837518,1673.5827620373507,76.10089628594326,99.88085598025619,1730.0930907845745
2.0700422371893255,297.6491255722128,0.10985736191703088,1.8353362083977152,2.218396861310204e-13,6.319244340060736,6.507584152016057,0.0786125719105416,1600.4697651311274,78.64498475098263,105.78162922326332,1723.2756161619536
2.1079495483296933,309.2164207501301,0.11465204974028742,1.9739733170208,2.6296499970330296e-13,6.08880966169766,7.024408023658204,0.11262302187378466,1627.4351212600684,77.5439900550298,106.55128452087526,1726.6432496593627
1.827884679524145,287.07491488172707,0.19707322002020788,2.1990745888417735,2.0914586553028578e-13,3.7815666773037035,7.551685499486726,0.31717313028276806,1631.1446945872335,76.29552800633292,102.11296329766182,1735.9964780465657
