0.656,0.68,0.648,0.664,0.608,2,3,12,39,49,51
0.656,0.672,0.64,0.664,0.6,1,12,19,29,31,51
0.616,0.592,0.592,0.584,0.696,32,38,43,49,52,59
0.752,0.736,0.72,0.752,0.664,1,11,12,45,49,50
0.664,0.6,0.672,0.688,0.608,0,4,6,26,49,56
0.72,0.72,0.712,0.728,0.632,18,29,35,40,44,58
0.592,0.656,0.576,0.648,0.648,5,17,18,22,49,58
0.664,0.68,0.648,0.664,0.624,6,22,26,48,52,55
0.624,0.672,0.608,0.584,0.568,18,27,30,35,56,57
0.632,0.696,0.64,0.648,0.696,6,7,16,48,50,56
0.752,0.72,0.784,0.712,0.656,9,34,37,43,46,53
0.688,0.776,0.696,0.736,0.736,10,11,13,26,38,53
0.64,0.688,0.64,0.632,0.664,12,31,36,37,48,57
0.648,0.736,0.68,0.728,0.72,25,26,40,47,49,50
0.728,0.688,0.72,0.616,0.544,1,18,29,32,36,39
0.712,0.688,0.68,0.72,0.592,25,28,30,43,49,51
0.656,0.728,0.648,0.648,0.72,6,12,13,19,25,47
0.728,0.768,0.728,0.744,0.68,3,11,17,20,33,42
0.696,0.784,0.704,0.672,0.592,5,23,26,35,36,42
0.672,0.696,0.672,0.624,0.584,2,6,8,17,21,52
0.704,0.592,0.68,0.664,0.592,0,14,18,37,40,50
0.656,0.68,0.728,0.6,0.64,25,34,36,38,50,54
0.76,0.808,0.712,0.712,0.696,3,8,21,32,46,53
0.704,0.752,0.696,0.728,0.728,4,10,26,31,41,49
0.584,0.632,0.584,0.624,0.584,23,42,50,54,55,58
0.608,0.648,0.576,0.656,0.592,1,26,31,36,50,58
0.736,0.72,0.72,0.664,0.576,2,9,11,27,36,49
0.744,0.736,0.76,0.744,0.72,10,36,39,42,46,52
0.72,0.712,0.696,0.712,0.696,5,21,24,35,39,43
0.584,0.688,0.608,0.688,0.568,4,12,31,35,36,57
0.64,0.632,0.592,0.632,0.64,5,6,37,45,54,58
0.696,0.672,0.696,0.728,0.664,2,12,40,46,54,58
0.728,0.704,0.728,0.68,0.64,3,4,5,7,27,47
0.648,0.688,0.688,0.728,0.624,0,24,34,44,48,59
0.728,0.752,0.704,0.72,0.656,10,11,33,39,49,55
0.632,0.664,0.608,0.688,0.64,2,14,25,28,51,56
0.672,0.672,0.712,0.704,0.608,1,5,15,27,33,44
0.64,0.584,0.608,0.624,0.608,14,29,39,41,51,53
0.68,0.72,0.64,0.68,0.688,5,10,12,20,22,59
0.664,0.696,0.688,0.616,0.624,1,3,13,34,41,57
0.64,0.68,0.656,0.728,0.608,5,9,22,28,31,49
0.688,0.72,0.68,0.68,0.608,11,24,27,31,36,40
0.592,0.648,0.576,0.552,0.544,17,18,22,26,52,55
0.648,0.664,0.64,0.64,0.664,1,35,37,40,54,59
0.664,0.744,0.656,0.656,0.712,4,11,20,23,29,34
0.672,0.808,0.68,0.72,0.64,2,8,11,20,22,53
0.64,0.752,0.696,0.688,0.696,0,25,30,41,46,49
0.728,0.736,0.752,0.696,0.624,1,10,12,34,47,49
0.56,0.608,0.544,0.616,0.632,7,18,31,34,53,58
0.568,0.624,0.552,0.56,0.624,17,21,29,32,53,58
