,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.696,0.832,0.776,0.76,0.688
Sim Entropy,0.752,0.752,0.752,0.704,0.72
Rep Entropy,0.744,0.816,0.752,0.712,0.672
Lap Score,0.688,0.808,0.792,0.688,0.68
SPECtrum,0.728,0.816,0.712,0.704,0.64
Mutual Corre,0.64,0.768,0.704,0.736,0.72
MICI,0.68,0.816,0.728,0.784,0.688
MDCM,0.76,0.824,0.808,0.792,0.664
Linear Depend,0.76,0.8,0.752,0.816,0.72
MPMR,0.736,0.808,0.784,0.776,0.672
MCFS,0.712,0.848,0.76,0.704,0.68
RSPCA,0.688,0.792,0.736,0.768,0.672
ANOVA F,0.68,0.784,0.784,0.808,0.736
ReliefF,0.72,0.832,0.808,0.736,0.672
Info Gain,0.728,0.816,0.768,0.744,0.744
MRMR,0.68,0.8,0.776,0.784,0.784
ERFS,0.728,0.8,0.76,0.816,0.776
