,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.768,0.776,0.744,0.744,0.728
Sim Entropy,0.64,0.736,0.656,0.64,0.64
Rep Entropy,0.72,0.8,0.728,0.736,0.672
Lap Score,0.728,0.8,0.72,0.672,0.64
SPECtrum,0.624,0.664,0.584,0.696,0.648
Mutual Corre,0.664,0.632,0.688,0.672,0.656
MICI,0.72,0.776,0.68,0.752,0.752
MDCM,0.728,0.784,0.72,0.8,0.752
Linear Depend,0.752,0.808,0.752,0.76,0.728
MPMR,0.744,0.704,0.744,0.736,0.72
MCFS,0.672,0.712,0.624,0.584,0.608
RSPCA,0.728,0.728,0.728,0.72,0.664
ANOVA F,0.736,0.76,0.736,0.792,0.736
ReliefF,0.744,0.776,0.744,0.776,0.688
Info Gain,0.752,0.784,0.744,0.768,0.712
MRMR,0.688,0.744,0.712,0.704,0.752
ERFS,0.712,0.792,0.712,0.808,0.728
