0.696,0.816,0.728,0.712,0.672,0,2,3,5,6,8,13,18,23,26,27,29,30,31,32,33,41,43,47,48,49,50,54,57
0.752,0.824,0.712,0.744,0.696,0,2,8,9,10,11,13,14,15,17,18,21,22,23,26,31,35,36,42,46,48,49,58,59
0.712,0.832,0.76,0.816,0.664,0,2,3,5,7,9,10,12,15,16,17,22,23,24,25,27,31,35,40,43,44,46,52,53
0.736,0.832,0.72,0.768,0.624,0,2,4,7,9,12,16,17,18,20,22,23,32,37,43,45,46,47,48,50,52,53,54,55
0.696,0.808,0.728,0.712,0.648,3,7,8,9,10,12,13,16,17,20,21,22,25,28,30,32,36,41,43,45,46,49,56,59
0.728,0.84,0.752,0.768,0.784,0,4,10,18,20,27,28,30,31,35,36,37,38,39,41,43,44,48,52,53,56,57,58,59
0.712,0.864,0.736,0.776,0.744,0,1,2,4,5,6,10,11,14,16,21,24,26,30,33,35,39,43,46,47,49,52,54,58
0.656,0.752,0.696,0.768,0.712,0,1,4,6,8,9,10,13,15,16,21,22,24,25,26,27,33,37,41,47,49,57,58,59
0.752,0.8,0.768,0.728,0.752,0,2,9,11,13,20,21,22,23,27,30,31,33,36,37,45,48,49,50,52,54,55,56,59
0.712,0.816,0.768,0.752,0.672,4,7,9,11,13,16,17,19,22,26,27,28,30,32,35,36,43,45,46,48,49,54,56,57
0.672,0.744,0.696,0.688,0.744,2,4,5,6,8,9,17,19,20,25,26,29,30,32,34,35,37,40,41,44,49,50,58,59
0.728,0.8,0.792,0.792,0.64,0,1,2,4,10,13,18,19,21,23,30,32,35,36,37,38,39,42,46,47,49,50,56,57
0.704,0.848,0.752,0.736,0.608,2,4,7,10,14,18,20,24,25,27,29,35,38,40,41,44,47,48,49,51,54,57,58,59
0.688,0.776,0.696,0.784,0.704,1,3,5,6,14,15,18,20,21,25,32,33,36,37,39,41,43,44,45,46,50,53,55,59
0.712,0.84,0.768,0.744,0.672,1,4,5,6,9,10,11,13,14,15,19,21,23,25,26,27,29,31,37,42,46,48,52,55
0.704,0.776,0.752,0.728,0.688,0,1,2,3,9,22,24,28,29,30,32,33,34,35,38,39,42,44,45,46,47,54,57,59
0.664,0.776,0.688,0.744,0.664,5,8,12,15,20,21,22,26,28,29,32,34,37,38,45,47,48,49,50,51,52,56,58,59
