0.72,0.768,0.656,0.72,0.72,2,4,11,12,25,27,28,37,44,47,48,54
0.632,0.712,0.64,0.624,0.544,3,6,22,23,26,28,37,41,45,46,53,58
0.704,0.768,0.712,0.688,0.696,1,3,5,6,11,16,26,40,43,50,57,59
0.792,0.808,0.824,0.76,0.712,4,10,14,17,22,35,37,40,45,47,51,54
0.728,0.816,0.728,0.736,0.592,9,15,21,24,25,35,38,40,46,48,49,55
0.696,0.808,0.72,0.72,0.64,0,3,12,18,22,24,28,30,37,44,47,53
0.64,0.712,0.632,0.672,0.576,4,5,26,32,34,43,46,49,52,54,55,58
0.72,0.808,0.672,0.744,0.696,11,18,24,25,28,32,33,35,41,42,47,58
0.584,0.664,0.6,0.664,0.68,3,5,7,14,17,26,28,32,44,55,57,58
0.728,0.792,0.736,0.688,0.704,5,7,10,12,15,21,24,27,31,34,35,50
0.648,0.752,0.64,0.76,0.776,0,1,10,14,25,30,32,34,39,40,57,58
0.768,0.784,0.792,0.768,0.728,0,4,5,7,10,11,12,23,29,34,50,55
0.768,0.744,0.704,0.688,0.664,0,5,10,15,21,28,29,38,50,57,58,59
0.6,0.736,0.632,0.688,0.616,8,17,26,27,28,29,34,39,40,44,47,59
0.664,0.72,0.688,0.696,0.68,16,20,21,23,28,29,30,34,41,45,46,51
0.672,0.768,0.672,0.72,0.664,11,18,27,28,31,34,36,38,42,48,52,59
0.76,0.784,0.744,0.8,0.728,8,11,16,22,29,33,37,44,47,50,54,55
0.648,0.712,0.656,0.68,0.688,2,3,4,5,7,12,20,25,38,50,54,56
0.688,0.72,0.688,0.696,0.656,4,9,12,16,21,30,33,41,49,54,56,57
0.744,0.744,0.736,0.72,0.704,3,8,19,23,29,36,37,40,46,48,52,54
0.728,0.76,0.736,0.704,0.736,3,5,8,10,13,17,18,19,22,25,40,41
0.792,0.776,0.768,0.76,0.696,0,6,9,10,18,21,27,35,36,45,47,53
0.752,0.76,0.752,0.72,0.656,1,3,8,15,16,21,24,36,39,41,52,56
0.688,0.736,0.72,0.704,0.576,13,18,23,24,25,26,27,39,41,43,46,51
0.592,0.704,0.64,0.688,0.592,2,16,19,20,25,27,32,34,37,41,53,59
0.816,0.808,0.816,0.776,0.712,5,9,10,14,15,18,22,34,36,37,44,54
0.672,0.736,0.704,0.736,0.592,1,3,5,8,17,27,31,45,46,47,56,57
0.568,0.712,0.568,0.728,0.64,2,9,13,17,20,25,26,28,30,33,44,58
0.736,0.784,0.736,0.752,0.736,4,10,13,17,19,23,27,33,35,42,51,57
0.616,0.704,0.648,0.68,0.64,13,17,19,21,33,38,41,48,50,51,56,58
0.648,0.768,0.72,0.76,0.656,0,2,4,10,19,23,27,36,38,53,54,56
0.552,0.72,0.592,0.68,0.632,6,11,27,28,32,33,39,49,53,54,58,59
0.632,0.688,0.648,0.648,0.592,15,17,18,22,31,33,37,39,42,52,54,56
0.728,0.752,0.664,0.744,0.624,1,4,9,12,31,34,36,39,46,48,56,58
0.68,0.736,0.696,0.64,0.64,2,3,6,9,16,24,28,39,50,55,57,59
0.728,0.704,0.76,0.712,0.648,8,9,15,17,18,29,32,34,40,48,49,53
0.632,0.688,0.64,0.712,0.656,13,22,24,27,34,37,43,46,53,54,55,57
0.76,0.776,0.744,0.728,0.672,1,8,11,12,13,36,42,45,50,54,57,58
0.696,0.824,0.696,0.752,0.776,1,4,11,19,23,24,25,30,41,44,47,52
0.744,0.752,0.76,0.808,0.688,0,1,7,10,18,26,27,32,33,39,44,47
0.576,0.768,0.576,0.72,0.648,7,8,13,16,26,27,31,36,38,53,56,58
0.664,0.76,0.712,0.76,0.656,1,2,9,11,12,14,29,32,33,38,42,48
0.592,0.696,0.632,0.728,0.64,5,12,18,19,21,27,41,44,45,53,56,57
0.768,0.784,0.72,0.712,0.712,0,3,5,11,13,18,24,26,29,32,35,36
0.648,0.776,0.64,0.712,0.616,1,5,13,17,21,27,36,41,42,44,50,58
0.696,0.808,0.776,0.768,0.728,0,7,10,17,27,35,36,37,40,41,53,55
0.664,0.744,0.752,0.648,0.656,0,1,3,13,19,22,32,37,40,45,47,56
0.648,0.68,0.64,0.712,0.616,12,20,21,24,28,31,33,39,41,42,50,51
0.728,0.776,0.744,0.72,0.696,1,4,11,14,16,17,34,35,38,44,49,59
0.664,0.744,0.632,0.672,0.704,9,15,16,19,24,25,26,30,41,46,54,57
