,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.736,0.816,0.744,0.776,0.656
Sim Entropy,0.672,0.776,0.656,0.616,0.632
Rep Entropy,0.704,0.816,0.776,0.752,0.656
Lap Score,0.728,0.808,0.8,0.728,0.712
SPECtrum,0.704,0.816,0.728,0.728,0.688
Mutual Corre,0.64,0.76,0.672,0.696,0.64
MICI,0.672,0.816,0.768,0.776,0.648
MDCM,0.712,0.832,0.784,0.776,0.688
Linear Depend,0.68,0.816,0.752,0.792,0.656
MPMR,0.728,0.816,0.728,0.784,0.672
MCFS,0.736,0.816,0.8,0.688,0.656
RSPCA,0.76,0.824,0.816,0.744,0.672
ANOVA F,0.712,0.816,0.736,0.816,0.72
ReliefF,0.704,0.832,0.8,0.736,0.68
Info Gain,0.672,0.832,0.816,0.768,0.744
MRMR,0.696,0.792,0.744,0.808,0.776
ERFS,0.728,0.824,0.8,0.768,0.656
