0.72,0.824,0.768,0.816,0.664,1,3,4,5,6,8,9,11,13,16,17,21,22,23,24,26,27,29,30,31,34,35,36,37,39,42,43,46,49,50,51,52,53,55,57,59
0.752,0.808,0.752,0.776,0.768,1,3,8,10,11,12,17,19,20,21,22,23,24,25,29,31,32,33,35,36,37,38,39,40,42,43,44,45,48,49,50,51,53,54,56,58
0.728,0.84,0.704,0.768,0.52,0,1,3,4,5,6,7,8,9,13,14,16,18,19,21,22,24,26,28,32,33,35,38,39,40,43,44,46,47,50,51,53,54,55,57,58
0.752,0.792,0.72,0.752,0.664,0,1,2,6,7,8,10,11,12,13,15,16,22,24,26,27,29,30,31,32,35,36,37,38,40,44,45,48,49,52,54,55,56,57,58,59
0.712,0.816,0.72,0.752,0.672,1,2,3,4,6,7,8,10,12,13,14,15,16,18,19,20,25,27,29,31,32,33,34,35,36,37,39,40,42,45,46,47,51,52,53,58
0.696,0.784,0.704,0.744,0.664,2,3,8,9,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,31,32,34,35,37,39,40,41,42,45,46,49,50,52,53,57,58
0.656,0.816,0.784,0.72,0.672,0,1,2,3,6,8,9,10,12,13,14,15,17,18,19,21,22,23,25,26,30,31,33,35,36,37,41,42,43,45,47,49,53,54,57,58
0.656,0.808,0.712,0.776,0.728,0,2,4,6,7,11,12,13,15,16,17,19,21,22,24,26,28,29,33,34,36,37,38,39,40,41,42,43,44,51,52,53,55,56,57,58
0.72,0.816,0.776,0.776,0.768,0,1,3,6,7,8,10,11,13,15,16,17,18,19,25,26,29,30,32,34,35,38,40,41,42,43,44,45,46,47,48,49,50,54,56,59
0.696,0.816,0.728,0.76,0.688,1,4,5,6,7,8,9,10,11,12,13,16,17,19,20,22,23,24,25,26,27,29,30,33,34,35,36,39,41,42,44,49,51,52,57,59
0.736,0.816,0.776,0.784,0.776,2,7,8,9,10,11,12,13,18,19,20,23,24,26,28,29,30,31,33,35,36,37,38,43,44,46,47,48,49,51,52,53,55,56,57,58
0.744,0.8,0.76,0.76,0.696,1,4,6,7,8,10,14,16,17,18,19,20,22,23,24,26,27,28,30,32,33,34,36,37,40,41,43,46,50,51,53,55,56,57,58,59
0.728,0.832,0.776,0.76,0.768,0,2,4,5,6,7,8,9,10,12,15,17,19,20,21,22,23,27,28,29,30,32,33,34,35,38,39,42,44,46,51,52,53,54,57,59
