0.752,0.768,0.736,0.728,0.632,1,2,7,8,9,12,13,16,17,18,20,21,24,25,26,29,30,32,36,37,38,39,40,41,42,44,46,49,51,53
0.68,0.768,0.744,0.744,0.704,0,1,2,6,8,11,12,13,14,18,19,28,29,30,33,36,37,38,40,41,44,45,48,49,52,53,54,55,57,58
0.792,0.832,0.768,0.736,0.672,0,2,3,10,11,14,15,16,17,19,22,23,24,25,26,27,34,35,36,37,38,43,44,46,47,50,52,53,55,56
0.752,0.776,0.784,0.768,0.648,0,2,3,4,5,6,8,9,10,12,13,20,21,22,30,32,33,34,35,43,48,50,51,52,53,55,56,57,58,59
0.672,0.816,0.728,0.8,0.712,1,4,10,11,18,20,23,24,25,28,29,32,33,35,36,37,40,41,43,44,45,46,47,48,50,51,55,57,58,59
0.76,0.832,0.792,0.8,0.704,0,2,4,5,6,7,8,9,11,13,15,16,22,25,27,28,29,31,35,36,37,38,41,43,45,46,47,49,52,54
0.8,0.808,0.8,0.728,0.728,0,1,2,4,10,12,15,17,21,23,24,25,26,28,30,32,33,34,35,37,38,43,44,45,46,48,49,52,53,59
0.752,0.752,0.736,0.712,0.72,2,10,11,12,13,14,16,17,21,22,23,25,28,31,33,34,35,37,38,42,43,46,47,48,49,50,56,57,58,59
0.768,0.848,0.76,0.776,0.704,0,3,4,7,11,12,14,15,16,17,20,23,25,26,28,35,37,38,39,40,42,44,45,46,48,49,54,55,56,57
0.72,0.856,0.768,0.752,0.776,0,3,4,5,6,11,13,14,19,20,21,22,23,24,26,30,35,36,37,40,41,42,44,47,51,52,53,55,57,58
0.68,0.784,0.72,0.744,0.72,0,1,2,4,5,6,10,11,12,13,14,15,17,18,20,22,24,25,27,35,37,40,42,43,44,49,53,56,57,58
0.656,0.832,0.768,0.72,0.696,1,3,4,5,7,8,9,10,14,15,17,18,20,27,31,32,34,35,39,40,43,44,45,47,48,51,53,55,56,59
0.72,0.792,0.752,0.728,0.752,0,1,3,6,7,11,12,13,15,16,17,18,19,21,23,25,29,32,33,34,35,38,41,46,47,49,51,53,55,59
0.72,0.816,0.744,0.776,0.64,0,2,3,5,7,9,10,13,15,18,19,20,22,24,28,29,35,37,40,41,44,45,46,48,49,53,55,57,58,59
0.752,0.816,0.768,0.704,0.672,0,2,3,8,10,11,12,15,17,18,21,22,26,27,28,30,32,34,36,37,38,39,42,44,46,47,48,49,54,55
0.688,0.832,0.744,0.784,0.696,1,6,7,8,9,10,12,13,15,21,25,29,31,32,33,34,38,40,41,43,44,45,47,48,50,51,52,54,55,57
0.72,0.808,0.776,0.768,0.744,0,4,5,7,8,9,12,13,15,16,17,18,20,25,26,29,32,37,39,41,42,43,46,48,49,51,52,53,54,57
0.72,0.768,0.752,0.728,0.672,0,1,2,3,5,10,12,14,15,17,18,19,22,29,31,32,34,38,41,42,45,46,47,51,53,54,55,56,57,59
0.76,0.832,0.8,0.776,0.656,0,1,2,3,4,5,6,8,9,13,14,19,21,22,23,24,29,30,31,33,35,36,38,43,46,47,49,50,51,57
0.672,0.84,0.728,0.744,0.656,1,3,4,6,8,10,14,15,16,18,21,23,24,25,27,28,31,32,34,36,37,38,40,41,44,46,47,51,54,57
0.712,0.84,0.768,0.712,0.76,2,3,5,7,10,11,13,15,16,17,19,21,22,23,24,27,28,30,31,32,34,37,38,40,44,45,49,50,56,58
0.728,0.824,0.768,0.8,0.76,0,2,3,6,8,10,12,17,19,20,22,23,25,28,30,34,35,36,37,38,39,42,45,46,47,49,50,51,54,56
