0.656,0.768,0.72,0.704,0.744,0,1,3,5,7,11,16,21,22,24,29,30,37,41,49,57,58,59
0.632,0.768,0.64,0.696,0.664,9,10,13,15,16,17,18,22,25,26,27,37,38,46,47,53,58,59
0.72,0.8,0.72,0.792,0.776,2,9,11,14,19,22,25,27,32,33,44,49,51,52,53,54,55,56
0.728,0.8,0.712,0.744,0.688,11,21,25,26,28,32,33,34,35,37,39,40,41,42,44,47,48,50
0.72,0.792,0.752,0.744,0.768,3,9,10,11,14,21,24,26,30,31,32,38,43,48,49,50,57,59
0.728,0.824,0.728,0.824,0.792,11,13,23,24,28,30,35,40,41,42,46,47,49,51,53,55,56,59
0.672,0.768,0.736,0.736,0.648,1,2,7,8,11,13,14,16,17,18,27,31,33,38,39,42,44,55
0.656,0.744,0.664,0.72,0.632,1,4,16,17,19,20,21,22,26,27,30,36,41,45,49,55,56,57
0.728,0.752,0.72,0.72,0.672,4,6,13,21,28,29,30,33,36,38,41,45,47,48,49,52,53,54
0.68,0.76,0.672,0.672,0.672,1,2,10,11,13,16,17,25,27,28,29,32,33,35,37,41,52,56
0.68,0.808,0.736,0.656,0.72,8,12,16,17,20,22,24,25,29,31,33,36,38,39,43,48,53,57
0.72,0.792,0.744,0.712,0.728,1,2,3,5,13,14,15,16,18,20,29,32,34,36,37,40,48,53
0.736,0.792,0.76,0.728,0.712,0,6,7,11,13,17,22,29,36,37,39,40,41,42,44,46,48,58
0.696,0.72,0.696,0.696,0.704,0,1,2,5,11,15,19,21,22,24,30,31,32,35,37,40,54,59
0.712,0.736,0.704,0.704,0.768,4,5,9,10,13,14,15,17,23,30,33,37,39,49,50,55,57,58
0.648,0.792,0.656,0.768,0.704,6,12,16,18,20,22,23,25,35,40,41,43,44,48,50,52,54,57
0.712,0.768,0.792,0.824,0.744,0,5,9,10,15,18,23,27,30,35,40,41,44,46,47,50,57,58
0.8,0.808,0.808,0.752,0.744,0,1,5,6,8,9,10,11,14,18,19,21,25,30,32,35,43,59
0.696,0.744,0.696,0.8,0.672,1,2,8,9,11,22,25,29,33,34,47,48,49,50,54,55,56,58
0.72,0.784,0.76,0.744,0.688,1,6,9,10,12,19,21,23,26,28,37,38,42,44,46,47,50,51
0.672,0.832,0.76,0.784,0.688,3,9,10,13,16,20,21,28,29,30,33,34,42,44,45,49,54,55
0.6,0.744,0.664,0.752,0.616,0,1,5,11,12,13,14,16,17,23,27,44,46,49,52,53,57,58
0.696,0.784,0.704,0.736,0.656,0,6,16,17,22,28,31,35,36,37,38,40,45,48,49,53,54,58
0.728,0.768,0.76,0.72,0.688,1,4,5,10,12,16,17,18,25,26,28,30,31,37,41,45,47,55
0.712,0.8,0.72,0.712,0.736,0,3,4,10,18,20,25,27,40,41,45,46,47,48,49,52,53,58
0.68,0.784,0.664,0.792,0.752,5,7,9,12,17,20,26,27,28,30,41,43,45,46,48,49,56,58
0.736,0.8,0.728,0.712,0.672,2,4,11,13,14,19,20,25,26,27,31,35,36,44,48,52,54,55
0.672,0.792,0.68,0.768,0.712,1,3,5,13,18,20,23,24,25,29,33,34,39,41,42,47,52,54
0.688,0.736,0.64,0.648,0.632,0,2,3,5,6,7,12,17,22,27,39,40,43,52,54,56,58,59
