,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.72,0.8,0.776,0.8,0.664
Sim Entropy,0.68,0.752,0.656,0.616,0.672
Rep Entropy,0.768,0.816,0.792,0.752,0.696
Lap Score,0.768,0.816,0.776,0.76,0.704
SPECtrum,0.656,0.792,0.752,0.728,0.696
Mutual Corre,0.648,0.832,0.656,0.712,0.568
MICI,0.688,0.768,0.704,0.728,0.656
MDCM,0.728,0.816,0.736,0.76,0.688
Linear Depend,0.752,0.8,0.744,0.792,0.72
MPMR,0.648,0.856,0.72,0.768,0.632
MCFS,0.8,0.808,0.816,0.632,0.68
RSPCA,0.744,0.832,0.792,0.656,0.664
ANOVA F,0.728,0.816,0.76,0.848,0.68
ReliefF,0.712,0.816,0.792,0.712,0.688
Info Gain,0.776,0.808,0.792,0.736,0.736
MRMR,0.712,0.832,0.72,0.76,0.752
ERFS,0.744,0.84,0.776,0.776,0.688
