,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.672,0.832,0.776,0.768,0.664
Sim Entropy,0.744,0.8,0.768,0.752,0.696
Rep Entropy,0.712,0.8,0.792,0.712,0.68
Lap Score,0.72,0.832,0.792,0.744,0.656
SPECtrum,0.728,0.808,0.76,0.744,0.68
Mutual Corre,0.672,0.816,0.744,0.696,0.728
MICI,0.704,0.84,0.784,0.8,0.688
MDCM,0.768,0.816,0.784,0.8,0.664
Linear Depend,0.744,0.824,0.776,0.808,0.688
MPMR,0.744,0.824,0.768,0.744,0.672
MCFS,0.736,0.832,0.784,0.712,0.664
RSPCA,0.696,0.816,0.776,0.752,0.688
ANOVA F,0.688,0.824,0.736,0.776,0.672
ReliefF,0.752,0.824,0.752,0.736,0.672
Info Gain,0.72,0.848,0.792,0.76,0.72
MRMR,0.768,0.824,0.816,0.784,0.784
ERFS,0.744,0.856,0.768,0.776,0.688
