,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.752,0.752,0.776,0.728,0.664
Sim Entropy,0.608,0.784,0.704,0.648,0.664
Rep Entropy,0.76,0.784,0.752,0.704,0.696
Lap Score,0.776,0.848,0.832,0.696,0.696
SPECtrum,0.712,0.752,0.712,0.688,0.656
Mutual Corre,0.712,0.728,0.72,0.656,0.6
MICI,0.712,0.792,0.688,0.776,0.664
MDCM,0.704,0.824,0.68,0.736,0.712
Linear Depend,0.68,0.808,0.688,0.784,0.72
MPMR,0.68,0.744,0.728,0.752,0.632
MCFS,0.656,0.728,0.648,0.552,0.632
RSPCA,0.728,0.784,0.736,0.752,0.648
ANOVA F,0.808,0.832,0.784,0.792,0.76
ReliefF,0.808,0.8,0.768,0.784,0.688
Info Gain,0.72,0.816,0.744,0.784,0.72
MRMR,0.712,0.832,0.712,0.784,0.752
ERFS,0.736,0.824,0.776,0.784,0.72
