,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.696,0.816,0.776,0.776,0.68
Sim Entropy,0.76,0.872,0.8,0.744,0.688
Rep Entropy,0.736,0.832,0.792,0.72,0.672
Lap Score,0.736,0.824,0.808,0.76,0.688
SPECtrum,0.712,0.808,0.76,0.784,0.68
Mutual Corre,0.72,0.84,0.776,0.776,0.656
MICI,0.712,0.84,0.744,0.752,0.68
MDCM,0.744,0.832,0.784,0.8,0.688
Linear Depend,0.784,0.824,0.784,0.76,0.68
MPMR,0.768,0.832,0.8,0.776,0.672
MCFS,0.784,0.832,0.808,0.752,0.672
RSPCA,0.68,0.84,0.76,0.752,0.688
ANOVA F,0.736,0.808,0.784,0.784,0.68
ReliefF,0.744,0.808,0.8,0.752,0.68
Info Gain,0.768,0.824,0.792,0.784,0.736
MRMR,0.712,0.816,0.824,0.8,0.688
ERFS,0.776,0.848,0.8,0.768,0.68
