Unnamed: 0,svm,rft,lgn,knn,dtr
Variance,0.22217046012237818,0.32326599326526295,0.2832855343066112,0.20864508494178072,0.1426106247392851
Sim Entropy,0.15726673019898682,0.30660279773612564,0.13286843644469376,0.0984804800925205,0.035233213170882204
Rep Entropy,0.1955432888717561,0.15996667707971773,0.20139178102623392,0.1452169791194794,0.035233213170882204
SPECtrum,0.21551366730972268,0.14163716199766674,0.1913639745021061,0.07845055193810954,0.04194430139390739
Lap Score,0.3553063163754887,0.30660279773612564,0.37520709411111636,0.4039368844472875,0.2734768450882762
Mutual Corre,0.08404200925977602,0.12830660557435694,0.005849553805741235,0.013353285436273964,0.04529984550541998
MICI,0.22549885652870597,0.31993335415943547,0.2849568353939658,0.19529179950550676,0.1459661688507977
MDCM,0.09735559488508708,0.249947932937059,0.16128055492972262,0.095142158733452,0.12415513212596588
Linear Depend,0.12231856793254531,0.14663612065640794,0.22311869516184424,0.13687117572180812,0.16442166146411696
MPMR,0.09901979308825096,0.02999375195244708,0.08105810273669997,0.05341314174509586,0.04697761756117628
MCFS,0.10234818949457873,0.0683191016694628,0.1345397375320484,0.16190858591482182,0.14932171296231028
RSPCA,0.2321556493413615,0.2332847374079217,0.3300819647525411,0.3087947257138355,0.20636596285802436
ANOVA F,0.4118890552830607,0.5515517720144434,0.41030441694556374,0.4623575082309861,0.2734768450882762
ReliefF,0.39857546965774965,0.5815455239668905,0.39693400824672664,0.42563597328123265,0.20804373491378064
Info Gain,0.2571186223888197,0.4032493318051218,0.20139178102623392,0.2370208164938629,0.2919323377015954
MRMR,0.3469853253596693,0.41824620778134536,0.3484662767134421,0.393921920370082,0.19965487463499917
ERFS,0.39857546965774965,0.5565507306731846,0.4286887289064648,0.387245277651945,0.2801879333113014
Variance,0.13652216238097523,0.28497568658373085,0.13307943079761875,0.3204544626494525,0.12116932883321128
Sim Entropy,0.29135827337403253,0.23300953197140345,0.22956201812589236,0.18455492613319252,0.07604419947463605
Rep Entropy,0.02497356628920279,0.04693717190790861,0.056558758088987963,0.04697761756117628,0.03259037120341545
SPECtrum,0.0033298088385603714,0.048613499476048205,0.06321272962886891,0.11744404390294069,0.017548661417223704
Lap Score,0.13985197121953563,0.0955506713839568,0.18464771023169602,0.10737741156840291,0.0693589951252175
Mutual Corre,0.13818706680025541,0.15925111897326133,0.10313655886815452,0.13757730857201622,0.06601639295050822
MICI,0.1565010154123375,0.26150710062977656,0.14306038810744015,0.30535451414764575,0.13621103861940304
MDCM,0.0233086618699226,0.06537677515744414,0.04158732212425586,0.12918844829323475,0.03259037120341545
Linear Depend,0.0815803165447291,0.1190192573379111,0.0964825873282736,0.09898855128962143,0.03760427446547937
MPMR,0.13818706680025541,0.11734292976977151,0.1214349806028271,0.048655389616932575,0.11949802774585666
MCFS,0.0049947132578405575,0.0067053102725583725,0.034933350584374925,0.005033316167268887,0.05097468316431648
RSPCA,0.21976738334498452,0.24642015251652016,0.22457153947098163,0.2650879848094947,0.11949802774585666
ANOVA F,0.5061309434611765,0.4257872023074567,0.47409547221651677,0.5201093372844516,0.3568227821502153
ReliefF,0.42954534017428797,0.4760770293516444,0.341016041418898,0.5670869548456279,0.31504025496634935
Info Gain,0.4778275683334134,0.47440070178350485,0.3809398706581837,0.3791764846009228,0.37520709411111636
MRMR,0.38292801643444274,0.3352655136279186,0.269485847365178,0.4110541536602924,0.21141958755036178
ERFS,0.331315979436757,0.40231861635350236,0.23954297543571376,0.44460959477541834,0.3300819647525411
Variance,0.1002352022065176,0.16658995284644432,0.20196844222364374,0.15966386554621848,0.12696458946158898
Sim Entropy,0.14534104319945054,0.01019938486814965,0.09013467669484927,0.03865546218487395,0.11694106924093722
Rep Entropy,0.1470116299028925,0.0934943612913718,0.1936226388259725,0.013445378151260503,0.0501176011032588
SPECtrum,0.13698810968224073,0.15299077302224476,0.1752618713510958,0.06722689075630252,0.08854109528242389
Lap Score,0.09689402879963369,0.06119630920889791,0.09681131941298625,0.28403361344537814,0.09689402879963369
Mutual Corre,0.043435254289490965,0.04589723190667343,0.025037410193013684,0.013445378151260503,0.0801881617652141
MICI,0.08519992187553997,0.14789108058816994,0.20363760290317798,0.1865546218487395,0.15369397671666035
MDCM,0.006682346813767841,0.05609661677482308,0.08178887329717803,0.011764705882352941,0.09021168198586585
Linear Depend,0.05345877451014273,0.037397744516548724,0.05174398106556161,0.08067226890756303,0.06849405484112037
MPMR,0.16204691023387016,0.0934943612913718,0.15523194319668485,0.07899159663865546,0.09188226868930781
MCFS,0.2606115257369458,0.20228779988496806,0.2770806728026848,0.011764705882352941,0.08687050857898193
RSPCA,0.015035280330977643,0.06119630920889791,0.1535627825171506,0.2823529411764706,0.18209395067517367
ANOVA F,0.1503528033097764,0.26858380152794076,0.285426476200356,0.35798319327731093,0.2138350980405709
ReliefF,0.1971292310061513,0.26688390404991585,0.26873486940501357,0.27899159663865547,0.1303057628684729
Info Gain,0.1520233900132184,0.26688390404991585,0.24870494125060263,0.09243697478991597,0.19378805759926737
MRMR,0.11025872242716939,0.20568759484101795,0.20864508494178072,0.334453781512605,0.2138350980405709
ERFS,0.12028224264782114,0.23118605701139205,0.2119834063008492,0.2369747899159664,0.11861165594437918
Variance,0.04722250688807642,0.15441760643828964,0.05483572671176717,0.050333161672688864,0.019386516419425626
Sim Entropy,0.27658896891587614,0.12557036127948829,0.12401310502507346,0.04697761756117628,0.08007474173241018
Rep Entropy,0.04722250688807642,0.03224103870689564,0.1071405737291451,0.1258329041817222,0.0261296525653128
