0.688,0.8,0.728,0.768,0.688,1,2,3,4,5,6,7,9,10,11,12,13,15,16,18,19,20,21,24,25,26,27,28,29,31,32,33,35,36,38,39,40,41,42,43,45,46,47,48,50,51,52,53,54,55,57,58,59
0.736,0.808,0.776,0.776,0.672,1,2,4,5,6,7,8,10,12,13,14,16,17,18,20,22,25,26,27,28,29,31,32,33,34,35,37,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.752,0.84,0.76,0.712,0.672,0,1,2,3,4,5,8,9,10,11,12,14,15,16,18,19,20,21,24,25,27,28,29,30,31,32,33,34,35,37,38,40,42,43,44,45,46,47,49,50,51,53,54,55,56,57,58,59
0.736,0.856,0.768,0.76,0.776,0,1,2,3,4,6,7,8,9,10,11,13,14,15,16,17,18,20,21,22,23,25,26,30,31,32,34,35,36,37,38,39,40,42,43,44,45,46,47,48,50,51,52,53,55,57,58,59
0.72,0.848,0.792,0.76,0.672,0,1,3,4,5,6,7,8,9,10,11,14,15,16,17,18,19,21,22,23,25,26,27,30,31,32,33,34,35,36,37,39,42,43,44,45,46,47,48,50,52,53,54,55,56,57,58,59
0.784,0.832,0.8,0.752,0.664,2,4,5,7,8,10,11,12,13,15,17,18,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,46,47,48,49,50,51,52,54,55,56,57,59
0.768,0.808,0.768,0.76,0.688,0,1,2,3,5,6,7,8,9,10,11,12,14,16,18,19,20,21,22,23,24,25,26,27,28,29,30,34,36,37,39,40,42,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.72,0.808,0.792,0.736,0.656,0,1,2,3,4,5,6,7,8,9,12,13,14,15,18,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,43,44,45,46,47,49,50,51,54,55,56,57,58
0.736,0.776,0.8,0.768,0.68,0,1,2,4,5,7,9,10,11,12,14,16,17,18,19,21,22,23,24,26,27,29,30,31,32,34,35,36,37,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0.752,0.832,0.784,0.76,0.672,2,3,4,5,6,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,32,34,35,36,38,39,40,41,42,43,48,49,50,51,52,53,54,55,56,57,58,59
0.704,0.816,0.768,0.76,0.616,0,1,3,4,5,6,7,8,10,12,14,16,17,18,19,20,21,22,23,24,27,28,31,32,33,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,59
0.728,0.768,0.76,0.704,0.624,0,1,2,3,4,6,7,8,10,12,13,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,32,33,35,36,37,38,39,40,41,44,45,46,49,50,52,53,54,55,56,57,58,59
0.736,0.848,0.752,0.752,0.672,3,4,7,8,9,10,11,12,13,14,16,17,19,20,21,23,24,25,26,27,28,29,30,31,32,35,36,37,39,40,41,42,43,44,45,46,47,48,50,51,52,53,54,55,56,57,58,59
0.752,0.824,0.776,0.752,0.68,2,3,4,5,6,7,8,9,11,13,15,16,18,19,20,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,51,52,55,56,57,58,59
