,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.768,0.808,0.784,0.752,0.664
Sim Entropy,0.608,0.736,0.64,0.68,0.616
Rep Entropy,0.776,0.816,0.76,0.712,0.696
Lap Score,0.752,0.8,0.768,0.736,0.672
SPECtrum,0.752,0.768,0.76,0.744,0.672
Mutual Corre,0.672,0.832,0.72,0.68,0.592
MICI,0.712,0.808,0.696,0.768,0.656
MDCM,0.72,0.8,0.72,0.744,0.712
Linear Depend,0.688,0.768,0.72,0.768,0.776
MPMR,0.664,0.792,0.752,0.784,0.6
MCFS,0.696,0.784,0.776,0.616,0.688
RSPCA,0.712,0.784,0.76,0.72,0.656
ANOVA F,0.688,0.832,0.752,0.784,0.752
ReliefF,0.712,0.848,0.768,0.776,0.688
Info Gain,0.744,0.808,0.792,0.752,0.744
MRMR,0.68,0.792,0.744,0.768,0.752
ERFS,0.68,0.792,0.744,0.768,0.76
