Unnamed: 0,svm,rft,lgn,knn,dtr
Variance,0.32072983787934295,0.48860972620779614,0.41160016113924563,0.3094071323130052,0.21687714087746557
Sim Entropy,0.24116074355619413,0.41456045307792927,0.20146846053892448,0.12012446760822228,0.05832516491286049
Rep Entropy,0.2843127856407555,0.23249258464166134,0.30176952880531693,0.21864000654813856,0.055579884648588776
SPECtrum,0.3268875428813763,0.1913059843822942,0.281218398215226,0.11930631217980088,0.07171442655264185
Lap Score,0.48309120023764246,0.4248571031427711,0.5172435607768326,0.5608214827879063,0.3898297975265837
Mutual Corre,0.1272913080889068,0.19111352363341869,0.006304913600238679,0.01886570164359901,0.06261165515005668
MICI,0.34435040941058,0.4792272647001133,0.43412458529887693,0.28592125883832076,0.2068592760534565
MDCM,0.11574561121009438,0.3273757338373062,0.23073096030186432,0.13658382975646427,0.1735306103889648
Linear Depend,0.1860300409598649,0.2015545192599171,0.30821882973991216,0.19457661159456838,0.23426391588451978
MPMR,0.13965482516330174,0.030312567947898727,0.12253671775731051,0.08215243037148855,0.06925812315829347
MCFS,0.1292155909020422,0.11201215584556863,0.18005100594269388,0.23485873474684485,0.24004345328298654
RSPCA,0.3468038699973277,0.349604950332432,0.4669486393092798,0.4376650274155342,0.30174001501161934
ANOVA F,0.5795458762460544,0.7475656638198453,0.5670571911298635,0.6314716103715884,0.41208101651068074
ReliefF,0.5614095107322533,0.7754243572195808,0.5684048062505251,0.59946729508334,0.2862315896590668
Info Gain,0.39101426762911357,0.5598202032917488,0.30340591859469185,0.34593536585252477,0.403219059166365
MRMR,0.48554466082439013,0.6014398402360859,0.49159074437280814,0.550762983697314,0.31012034423939616
ERFS,0.5474103532666933,0.7531470255372361,0.5549286550439082,0.5452284028579929,0.4099618527979096
Variance,0.2135403484746214,0.39881700782011337,0.209131514073308,0.4493013700118947,0.2074033492687866
Sim Entropy,0.38449772975680474,0.3469669453596761,0.3070341207305847,0.24779738901481574,0.12692565143230222
Rep Entropy,0.04056208061381385,0.05165749026931212,0.09126351097240976,0.07124656655383212,0.03422227461826578
SPECtrum,0.023577010083948736,0.06494497145694506,0.09443873064778091,0.18488459934659074,0.0356181198558603
Lap Score,0.21512818792925464,0.1433218532448669,0.2701342193516504,0.14904454152640742,0.07484618429170646
Mutual Corre,0.2024735886392985,0.23498621622042168,0.1476958242937786,0.18459556662223442,0.10189670234440037
MICI,0.22826395069031183,0.37874135689532007,0.21875339187746293,0.42685316175355403,0.2049485869543962
MDCM,0.05182130583757711,0.10220769043965483,0.07846641349288366,0.18979815566064812,0.06021387559416384
Linear Depend,0.12976978815593823,0.1698005295245702,0.17107698735787513,0.16860242254118488,0.061850383803757424
MPMR,0.209498575317373,0.17085967657575835,0.16891206485194027,0.054916217627700215,0.19277104057124395
MCFS,0.02189293793509525,0.01131361622860051,0.047387748185463166,0.009778940507388721,0.06343875941895119
RSPCA,0.31934819576973006,0.35457354690911813,0.31136396574245434,0.3905313827261102,0.16908980412653682
ANOVA F,0.6795471702359346,0.6216230329518716,0.6460128757709638,0.6936785384551607,0.5048627826596199
ReliefF,0.5942368868097283,0.6793946902894061,0.5023101307659095,0.7212329915104628,0.4762720215861321
Info Gain,0.6738213249298327,0.6526752987707962,0.5424814705982565,0.554461109556868,0.5381224053898895
MRMR,0.5252380450538456,0.4983286875840165,0.3953148495837064,0.6000801078844401,0.31603861482916057
ERFS,0.47962374799347135,0.5550411978703629,0.3459546164483915,0.5995020424357274,0.46293929293738434
Variance,0.15795212447523457,0.2055594189754649,0.27281103429552567,0.22104039623508895,0.17799862802534583
Sim Entropy,0.22119072641321696,0.008641412869095401,0.1250243547538853,0.041481207750307655,0.1849780225801525
Rep Entropy,0.22850599847910233,0.15655922868422564,0.30736356959702277,0.0011080926576737238,0.05742357037161643
SPECtrum,0.2103621986841104,0.23418711635744013,0.2616945500968546,0.10127003332305075,0.09617124358968115
Lap Score,0.10347259830035173,0.06922785505185924,0.1343121532402209,0.37935311245751746,0.11542474580983755
Mutual Corre,0.056837738880332736,0.07004854789417557,0.012656430061690467,0.02423350464390796,0.10305437063338707
MICI,0.12748786646401475,0.195662828818121,0.2689130463297579,0.24537025676227284,0.20981504044415425
MDCM,0.014823051291399224,0.08120031533976796,0.1277192600141692,0.01662138986510586,0.10806028121062775
Linear Depend,0.0701688596846106,0.053345034750560995,0.0941773141852785,0.1372107777849898,0.09275374694560341
MPMR,0.24154835854393733,0.1191935663340589,0.2281044809597445,0.11418172168203154,0.12972047120830366
MCFS,0.35286562359915297,0.2818355772613349,0.3708382131383526,0.00814207213681997,0.1273619171863345
RSPCA,0.0040426503521997885,0.07082096468694386,0.1967280840007248,0.40638093771642875,0.26829755343787925
ANOVA F,0.21291291854918887,0.38558080774002773,0.39403364770008187,0.5140586372773319,0.3274058052537594
ReliefF,0.2645048373296433,0.3847601148977114,0.38768137101512695,0.39809433175469483,0.19773346780100612
Info Gain,0.21267228459965312,0.37442904029443536,0.35428379511089436,0.1388488278006814,0.2665647382380652
MRMR,0.18726133952868307,0.2940011417474357,0.2833981621037838,0.48563365171091893,0.28577010670267117
ERFS,0.17508526168217656,0.3435806446332512,0.29913448389151304,0.3304525016949596,0.1823787997804314
Variance,0.06887304686739741,0.20583077094101093,0.08065239293515539,0.06904879627777918,0.004049590529587367
Sim Entropy,0.3764384669468045,0.18212377855723505,0.17562263446668927,0.07439357757961565,0.12380176761881377
Rep Entropy,0.07437131531479468,0.044854981516349784,0.1479028939181451,0.20493143441996386,0.03977276412987591
