,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.8876811594202898,0.8992753623188405,0.8746376811594203,0.861231884057971,0.8278985507246377
Sim Entropy,0.8884057971014493,0.9271739130434783,0.888768115942029,0.8692028985507246,0.8822463768115942
Rep Entropy,0.8481884057971014,0.9141304347826087,0.8409420289855073,0.8373188405797102,0.8398550724637681
Lap Score,0.8431159420289855,0.9213768115942029,0.8532608695652174,0.8626811594202899,0.8326086956521739
SPECtrum,0.8905797101449275,0.9217391304347826,0.8815217391304347,0.8724637681159421,0.8597826086956522
Mutual Corre,0.8880434782608696,0.9246376811594202,0.886231884057971,0.8583333333333333,0.8717391304347826
MICI,0.886231884057971,0.902536231884058,0.875,0.8597826086956522,0.8278985507246377
MDCM,0.8880434782608696,0.9210144927536232,0.8818840579710145,0.8771739130434782,0.8724637681159421
Linear Depend,0.9112318840579711,0.9293478260869565,0.9047101449275362,0.8724637681159421,0.8681159420289855
MPMR,0.8923913043478261,0.9347826086956522,0.8884057971014493,0.8717391304347826,0.8434782608695652
MCFS,0.8724637681159421,0.9112318840579711,0.8670289855072464,0.8590579710144928,0.825
RSPCA,0.8840579710144928,0.9141304347826087,0.8793478260869565,0.8532608695652174,0.8728260869565218
ANOVA F,0.9097826086956522,0.9384057971014492,0.9010869565217391,0.8942028985507247,0.8721014492753624
ReliefF,0.9065217391304348,0.936231884057971,0.9010869565217391,0.881159420289855,0.8702898550724638
Info Gain,0.9047101449275362,0.9373188405797102,0.8971014492753623,0.8829710144927536,0.8721014492753624
MRMR,0.9108695652173913,0.9394927536231884,0.9021739130434783,0.8902173913043478,0.8721014492753624
ERFS,0.9159420289855073,0.9376811594202898,0.9072463768115943,0.9,0.8717391304347826
