Unnamed: 0,SVM,RFC,LRC,KNN,DST
SPECtrum,0.100805061,0.070173879,0.099375856,0.153463762,0.103797874
Lap Score,0.092110831,0.003465487,0.12408203,0.035843059,0.037091498
Mutual Corre,0.08026961,0.01335697,0.114004699,0.135581347,0.161464742
MICI,0.052673876,0.121464502,0.002830471,0.045043844,0.150739661
MDCM,7.29E-05,0.037677609,0.047241491,0.128976339,0.088311227
Linear Depend,0.115130094,0.175121756,0.099662104,0.040632801,0.022700117
MPMR,0.017797391,0.136446642,0.029271909,0.085737094,0.145773622
MCFS,0.091831691,0.000421406,0.096330255,0.025973772,0.123848726
RSPCA,0.089499006,0.144362674,0.106235127,0.017130351,0.021101668
ANOVA F,0.4877054,0.441814859,0.459884026,0.375027558,0.388569043
ReliefF,0.503979078,0.305380664,0.424060429,0.355264094,0.333186944
Info Gain,0.579497976,0.505009757,0.473890592,0.422626287,0.418370615
MRMR,0.612290691,0.478121564,0.547449065,0.487174017,0.516583694
ERFS,0.732196388,0.638079816,0.669169999,0.705573098,0.631672063
Variance,0.02589441,0.210644886,0.043986309,0.039263518,0.125519169
Sim Entropy,0.054976726,0.082853999,0.054096102,0.075490216,0.081659066
Rep Entropy,0.191887817,0.074602026,0.184499267,0.004791703,0.020485483
SPECtrum,0.014081552,0.126846737,0.015098902,0.105885083,0.127967109
Lap Score,0.227569973,0.015966971,0.251288617,0.052799413,0.075836314
Mutual Corre,0.108541742,0.017976178,0.113074633,0.03773444,0.0331646
MICI,0.01405666,0.176827979,0.041066809,0.052248234,0.157379743
MDCM,0.182363212,0.12799892,0.138839846,0.037528192,0.048702612
Linear Depend,0.19483392,0.168974292,0.205316265,0.011540982,0.044573493
MPMR,0.143345578,0.167884342,0.139439037,0.031479445,0.066848675
MCFS,0.044925841,0.03999744,0.033382229,0.100220383,0.044641096
RSPCA,0.13142782,0.078856922,0.156276838,0.000784097,0.031791192
ANOVA F,0.429361104,0.37927779,0.423393343,0.333049151,0.391615182
ReliefF,0.486236706,0.198714109,0.489777306,0.268038452,0.161462607
Info Gain,0.429691807,0.36878902,0.457616573,0.311414478,0.253601914
MRMR,0.48046007,0.340951726,0.460568078,0.400225451,0.347874273
ERFS,0.585385413,0.395403009,0.532739478,0.55839255,0.401485217
Variance,0.080610447,0.124107017,0.081210494,0.051711262,0.178345759
Sim Entropy,0.239521631,0.216684941,0.214057237,0.174675317,0.124037738
Rep Entropy,0.037261173,0.0271992,0.011836455,0.070292608,0.020982482
SPECtrum,0.172243131,0.113500112,0.124886428,0.09027689,0.083641474
Lap Score,0.15913522,0.020577219,0.214226151,0.019884707,0.038889884
Mutual Corre,0.105334468,0.1224533,0.115640586,0.142171298,0.070190891
MICI,0.127197581,0.1681848,0.091530276,0.032196404,0.249672666
MDCM,0.045351377,0.080616038,0.022949246,0.085267928,0.036941918
Linear Depend,0.239333155,0.178233353,0.187793712,0.046634732,0.177147421
MPMR,0.109692511,0.115239182,0.105183895,0.107270375,0.104584783
MCFS,0.018081164,0.006675327,0.029846288,0.249384773,0.017378567
RSPCA,0.267919139,0.19791792,0.195156603,0.051000015,0.176061261
ANOVA F,0.384506994,0.464797619,0.37854965,0.335017216,0.247836877
ReliefF,0.408397102,0.179903074,0.400561865,0.236886374,0.046261531
Info Gain,0.353917129,0.235325711,0.37786688,0.367386098,0.007978828
MRMR,0.401128364,0.441442867,0.403202264,0.355917229,0.183007346
ERFS,0.35550672,0.418690921,0.339233486,0.479976605,0.239186767
Variance,0.056675455,0.031827798,0.018450766,0.104506155,0.101877199
Sim Entropy,0.057036422,0.015149064,0.017501198,0.101390921,0.066730291
Rep Entropy,0.078907852,0.124753443,0.049151659,0.08606724,0.07208017
SPECtrum,0.052382964,0.028985459,0.027336509,0.106250473,0.114181555
Lap Score,0.084382822,0.073153777,0.117589845,0.017814802,0.046371741
Mutual Corre,0.024515562,0.080058634,0.042053022,0.009436386,0.069183084
MICI,0.033130771,0.0171572,0.005236845,0.076019186,0.168829637
MDCM,0.050965767,0.103322062,0.057246096,0.051588068,0.123634722
Linear Depend,0.117616727,0.084348824,0.037129143,0.058430203,0.016791351
MPMR,0.050021561,0.114004847,0.051033011,0.017306265,0.15113134
MCFS,0.057103992,0.002022365,0.014323527,0.096392677,0.111229391
RSPCA,0.063500052,0.023713435,0.037038454,0.080236844,0.089448001
ANOVA F,0.205459859,0.181449043,0.149441243,0.34082122,0.01019488
ReliefF,0.297999124,0.11358152,0.260369892,0.227490345,0.092862818
Info Gain,0.273474672,0.168507328,0.248740362,0.276208556,0.021221433
MRMR,0.240519939,0.21471402,0.168220979,0.388383665,0.027019278
ERFS,0.209640325,0.284532761,0.226141019,0.513962105,0.008860164
