Unnamed: 0,SVM,RFC,LRC,KNN,DST
SPECtrum,0.063228858,0.045561154,0.066433684,0.107127021,0.068325031
Lap Score,0.062331995,0.004223618,0.085440352,0.028597088,0.02397212
Mutual Corre,0.052287127,0.00620063,0.074681861,0.087404892,0.111959677
MICI,0.032914881,0.081506838,0.001882736,0.028597088,0.095798697
MDCM,0.003497767,0.024892386,0.026806574,0.090811441,0.058987576
Linear Depend,0.075426199,0.116194422,0.06589576,0.023397617,0.009965938
MPMR,0.010134555,0.090133802,0.020710096,0.061945416,0.100108292
MCFS,0.058744542,0.002606062,0.064102678,0.015329473,0.078739885
RSPCA,0.060897014,0.097502667,0.076474943,0.005289117,0.011222903
ANOVA F,0.3403596,0.298079582,0.321051313,0.258090957,0.262975055
ReliefF,0.348072624,0.201026236,0.289313764,0.248767769,0.219879109
Info Gain,0.409956187,0.34031576,0.332527037,0.286598399,0.28793479
MRMR,0.441167028,0.328273956,0.388112576,0.343075406,0.353476542
ERFS,0.541436339,0.446535255,0.478663212,0.507844832,0.448826323
Variance,0.020454918,0.141882783,0.028547207,0.021263305,0.086877718
Sim Entropy,0.037859542,0.05346438,0.031778967,0.049793816,0.054185687
Rep Entropy,0.129368386,0.047713589,0.127115866,0.008523266,0.01553323
SPECtrum,0.01004803,0.081499483,0.014722459,0.065943162,0.090851335
Lap Score,0.157000468,0.012310286,0.174874087,0.037771526,0.049308975
Mutual Corre,0.075001367,0.010513164,0.078280392,0.021801617,0.022035513
MICI,0.013457183,0.116902787,0.024776821,0.033285596,0.106926423
MDCM,0.123806084,0.083835742,0.096414153,0.02287824,0.034498221
Linear Depend,0.130803819,0.108815738,0.136631602,0.005652271,0.032511412
MPMR,0.093482565,0.106479479,0.089232465,0.016059627,0.048044643
MCFS,0.03409153,0.027226398,0.0229814,0.067019785,0.032150174
RSPCA,0.092944277,0.045916467,0.103236756,0.003678462,0.023299845
ANOVA F,0.291034011,0.257797152,0.281522144,0.226180561,0.26839977
ReliefF,0.330508414,0.132537748,0.33789839,0.175758714,0.108371374
Info Gain,0.291392869,0.252765211,0.314019279,0.216670391,0.167795011
MRMR,0.332482135,0.224370683,0.313660195,0.282523834,0.231734122
ERFS,0.421658401,0.268939309,0.376859044,0.394133758,0.25106035
Variance,0.047809917,0.080623901,0.047884661,0.036323174,0.11974098
Sim Entropy,0.163200768,0.147570532,0.144732062,0.121736578,0.082743386
Rep Entropy,0.024444168,0.019976011,0.006917672,0.049629683,0.012940045
SPECtrum,0.113773223,0.073605302,0.082922218,0.063295828,0.053582722
Lap Score,0.109279809,0.014937017,0.140599427,0.007911978,0.029707427
Mutual Corre,0.073152767,0.075944835,0.074297589,0.096921736,0.042647472
MICI,0.077286707,0.108878259,0.056509291,0.021757941,0.173505956
MDCM,0.033970204,0.05668868,0.018237498,0.058980203,0.026609107
Linear Depend,0.163560241,0.122195599,0.131076399,0.028591013,0.121563521
