,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.723004647993126,0.5934614943627844,0.6696099597613525,0.8023648212227242,0.6242423836351424
Sim Entropy,0.6995304711102323,0.859999936095389,0.6876379202164655,0.7471846440438984,0.737373689407207
Rep Entropy,0.31455397023077575,0.6069230318240271,0.36055920910226685,0.7728040120197817,0.6595959166889127
Lap Score,0.4553990315281379,0.4346153523201207,0.46872697183294704,0.5185810528744763,0.435690207348368
SPECtrum,0.7136149772399684,0.7038461015449738,0.7339955328153289,0.7235359966815446,0.7161615695749447
Mutual Corre,0.0,0.0,0.0,0.07911035605739834,0.0
MICI,0.0,0.07115384086656841,0.010301691688635609,0.40822069851682463,0.3131312927619645
MDCM,0.7018778887985214,0.6015384168395295,0.6515819993062394,0.757038247111546,0.737373689407207
Linear Depend,0.6408450289029984,0.528846114548819,0.6206769242403302,0.5757319506668321,0.49461276243798524
MPMR,0.08920187215499605,0.04153845845183455,0.10301691688636161,0.0,0.07272726799632721
MCFS,0.18075116199828134,0.4803845796883457,0.24981602344942772,0.6289414072321285,0.3296296081870577
RSPCA,0.49295771454076787,0.5019230396263336,0.45584985722215177,0.536317538396242,0.3861952610730897
ANOVA F,1.0,1.0,1.0,1.0,0.9329965723047351
ReliefF,1.0,1.0,1.0,1.0,0.9377103767119042
Info Gain,1.0,1.0,1.0,1.0,0.9494948877298276
MRMR,1.0,1.0,1.0,1.0,0.9329965723047351
ERFS,1.0,1.0,1.0,1.0,0.9447810833226585
