Unnamed: 0,SVM,RFC,LRC,KNN,DST
MPMR,0.121542451,0.080011527,0.134034482,0.066703484,0.201826577
MCFS,0.197992701,0.244645089,0.304086828,0.331356401,0.27469371
RSPCA,0.090664618,0.217750459,0.24703453,0.108387159,0.389089341
ANOVA F,0.635372648,0.643454046,0.730442303,0.769034987,0.776496393
ReliefF,0.376344603,0.384881379,0.461364839,0.277474969,0.635712863
Info Gain,0.632491357,0.619440982,0.703837106,0.768698828,0.690363213
MRMR,0.652132156,0.687349925,0.742736401,0.792085867,0.760586749
ERFS,0.743180946,0.81798099,0.863180141,0.779023701,0.772218574
Variance,0.130672814,0.21016233,0.121085498,0.015030734,0.003226597
Sim Entropy,0.148873842,0.040149842,0.06676273,0.262581637,0.103202935
Rep Entropy,0.081400375,0.302612624,0.138232473,0.11040146,0.142451835
SPECtrum,0.046631129,0.160503315,0.296685888,0.298405686,0.37751181
Lap Score,0.221485858,0.086254924,0.022430356,0.057481752,0.081339131
Mutual Corre,0.018489171,0.199932765,0.038424593,0.087063004,0.01569956
MICI,0.066368919,0.163240805,0.066042269,0.056905494,0.05884927
MDCM,0.116313692,0.343242728,0.217195011,0.165818287,0.178811245
Linear Depend,0.10522019,0.438958798,0.345004813,0.178543988,0.344571629
MPMR,0.075733564,0.318317168,0.159606153,0.012101421,0.070070122
MCFS,0.012678288,0.126981079,0.214024982,0.353294276,0.320637024
RSPCA,0.017624742,0.325713191,0.288568692,0.15165194,0.318951488
ANOVA F,0.569562506,0.571462882,0.703266111,0.856031503,0.748955691
ReliefF,0.256495223,0.519450587,0.535062455,0.362514407,0.545824576
Info Gain,0.623253136,0.529728178,0.65331414,0.856943912,0.662463637
MRMR,0.617058064,0.635769865,0.741738734,0.866452172,0.786952479
ERFS,0.74235221,0.741571423,0.817195028,0.796388783,0.791912769
Variance,0.084488103,0.032567189,0.025317675,0.06319783,0.153093993
Sim Entropy,0.075986458,0.117683797,0.059138629,0.06627128,0.135268645
Rep Entropy,0.001873244,0.176861934,0.002017727,0.083655486,0.031619349
SPECtrum,0.082758955,0.340898737,0.299152105,0.156794007,0.274471496
Lap Score,0.049472852,0.302039067,0.116595818,0.295819628,0.209727113
Mutual Corre,0.011431591,0.161202784,0.033724872,0.041155425,0.038953484
MICI,0.057157955,0.05543147,0.063654495,0.059211948,0.139688555
MDCM,0.022959246,0.193673905,0.024789222,0.126155546,0.069455714
Linear Depend,0.116285217,0.517664602,0.34109201,0.20006243,0.34057585
MPMR,0.015418238,0.148954063,0.006869881,0.033952025,0.056244557
MCFS,0.019837173,0.165669965,0.198073572,0.295195333,0.257811838
RSPCA,0.05855088,0.458726636,0.306070028,0.103200711,0.231680947
ANOVA F,0.379163778,0.510939814,0.519036349,0.735659233,0.685134475
ReliefF,0.33535869,0.613012495,0.551704316,0.332076741,0.490901328
Info Gain,0.430461842,0.470398947,0.518459856,0.780272291,0.702619829
MRMR,0.449242313,0.586641717,0.584564448,0.779647996,0.732636355
ERFS,0.581089864,0.609794203,0.7085586,0.682065937,0.657109337
Variance,0.279462991,0.036268437,0.129393417,0.013303876,0.222274556
Sim Entropy,0.254485206,0.078493545,0.248360405,0.077998176,0.2868123
Rep Entropy,0.062492498,0.41763946,0.148948976,0.14197205,0.085386868
SPECtrum,0.30996471,0.062112701,0.068564577,0.053503675,0.02512842
Lap Score,0.16538176,0.094297937,0.067171183,0.087219636,0.08060998
Mutual Corre,0.116627044,0.357736492,0.057657668,0.110273284,0.151467148
MICI,0.227970326,0.003266561,0.109741762,0.044282216,0.256309881
MDCM,0.105098835,0.431618421,0.171915947,0.125930553,0.055829875
Linear Depend,0.207267585,0.43512517,0.053813824,0.18519764,0.058069041
MPMR,0.132190126,0.437671166,0.009369371,0.143605017,0.111460713
MCFS,0.500660495,0.085507044,0.190750785,0.130733397,0.120964729
RSPCA,0.371976866,0.199788649,0.044636645,0.054368187,0.030850733
ANOVA F,0.197132368,0.192823188,0.423399476,0.363094959,0.476693586
ReliefF,0.157167911,0.414709163,0.182246279,0.297103891,0.200430247
Info Gain,0.396762514,0.139021003,0.432672751,0.324384041,0.460671108
MRMR,0.176861934,0.238266819,0.411243317,0.376590949,0.442309946
ERFS,0.342820105,0.445933645,0.576816921,0.317948231,0.474603698
Variance,0.183779399,0.207360459,0.068675532,0.182556077,0.29458836
Sim Entropy,0.36116856,0.038051317,0.289071607,0.117285435,0.201461849
Rep Entropy,0.066448865,0.361151199,0.063437161,0.375054039,0.102824893
SPECtrum,0.488156522,0.031565297,0.037822004,0.058546661,0.102714684
Lap Score,0.233411849,0.110214294,0.138312234,0.176072238,0.041052811
Mutual Corre,0.073800041,0.260545823,0.132256868,0.261466793,0.023254076
MICI,0.046941823,0.160709161,0.003316033,0.154651557,0.271389389
MDCM,0.087445361,0.443451585,0.014225303,0.432448017,0.157323189
Linear Depend,0.161821965,0.384789138,0.076412944,0.431727591,0.198927044
MPMR,0.051698466,0.426780111,0.044069603,0.295807123,0.092079527
MCFS,0.36102442,0.293072012,0.118271858,0.511070563,0.143547078
RSPCA,0.561572188,0.179590685,0.07093428,0.106238895,0.000771462
ANOVA F,0.345553317,0.232247558,0.216359165,0.543489756,0.389588422
ReliefF,0.229279815,0.306284275,0.097030021,0.28610538,0.346441642
Info Gain,0.525322003,0.141690306,0.314701876,0.408453414,0.404375831
MRMR,0.26843804,0.291102183,0.195213445,0.605110236,0.361154528
ERFS,0.198721986,0.244691107,0.338956284,0.242975846,0.265713631
