,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.8145714285714286,0.8106190476190476,0.8076666666666666,0.7947142857142857,0.8212857142857143
Sim Entropy,0.8128095238095238,0.8102857142857143,0.8080952380952381,0.7951904761904762,0.823
Rep Entropy,0.8016190476190476,0.7902380952380952,0.7969047619047619,0.7807619047619048,0.8047619047619048
Lap Score,0.8003333333333333,0.787952380952381,0.7968095238095239,0.7792380952380953,0.8057142857142857
SPECtrum,0.781952380952381,0.7857619047619048,0.7843809523809524,0.7552380952380953,0.786952380952381
Mutual Corre,0.7968571428571428,0.7854285714285715,0.7900952380952381,0.7716666666666666,0.7982857142857143
MICI,0.818952380952381,0.8142380952380952,0.8067619047619048,0.793952380952381,0.8212857142857143
MDCM,0.8196666666666667,0.816,0.8074761904761905,0.7976666666666666,0.8210952380952381
Linear Depend,0.8025238095238095,0.7989047619047619,0.7951428571428572,0.7750476190476191,0.8057619047619048
MPMR,0.8153333333333334,0.8114761904761905,0.8082857142857143,0.7939047619047619,0.8222380952380952
MCFS,0.7810952380952381,0.7849047619047619,0.7810952380952381,0.7587142857142857,0.7857619047619048
RSPCA,0.8142380952380952,0.7915238095238095,0.8098571428571428,0.7942857142857143,0.8219047619047619
ANOVA F,0.8132380952380952,0.8064761904761905,0.8078095238095238,0.7938571428571428,0.823
ReliefF,0.8118095238095238,0.7876190476190477,0.8078095238095238,0.7941428571428572,0.8224761904761905
Info Gain,0.8126666666666666,0.8062857142857143,0.8080952380952381,0.7958095238095239,0.823
MRMR,0.8115238095238095,0.8042380952380952,0.8065714285714286,0.7992380952380952,0.8213333333333334
ERFS,0.8152857142857143,0.8145714285714286,0.8098571428571428,0.7937142857142857,0.8210952380952381
