Unnamed: 0,svm,rft,lgn,knn,dtr
Variance,0.05887448094094637,0.07102040816326531,0.0700210048781027,0.08088237993479853,0.02785762482713964
Sim Entropy,0.37511454999517263,0.25387755102040815,0.2539315960037218,0.3276144884227698,0.43588989435406733
Rep Entropy,0.11438470582812439,0.1657142857142857,0.03458868915665314,0.07434643004107744,0.1360107565089759
SPECtrum,0.08074214529044074,0.11836734693877553,0.043024954804617314,0.0040849686835756835,0.02130288957369502
Lap Score,0.15812003452711312,0.022040816326530613,0.0885807893036239,0.010620918577296776,0.19172600616325516
Mutual Corre,0.2708226123283533,0.17224489795918366,0.14257288945059463,0.18872555318119658,0.2818536158981187
MICI,0.05551022488717801,0.07102040816326531,0.056522979841360003,0.07107845509421688,0.0032773676267223105
MDCM,0.13793449820450293,0.10530612244897959,0.07170825800769554,0.14133991645171864,0.1540362784559486
Linear Depend,0.16148429058088148,0.18857142857142856,0.1223258518954806,0.08088237993479853,0.19500337378997748
MPMR,0.010092768161305093,0.30775510204081635,0.051461220452581495,0.013888893524157325,0.02458025720041733
MCFS,0.02523192040326273,0.30448979591836733,0.016028904731131943,0.03676471815218115,0.02130288957369502
RSPCA,0.02691404843014691,0.12816326530612246,0.019403410990317612,0.023692818364738966,0.09340497736158586
ANOVA F,0.6812618508880937,0.42857142857142855,0.530641109256947,0.5253269727078329,0.6882472016116852
ReliefF,0.16148429058088148,0.015510204081632652,0.15775816761693018,0.08741832982851963,0.09832102880166932
Info Gain,0.6627584425923677,0.4106122448979592,0.5120813248314258,0.4599674737706219,0.7144661426254637
MRMR,0.6358443941622208,0.3893877551020408,0.5103940717018329,0.5155230478672512,0.6571122091578233
ERFS,0.5954733215170004,0.3289795918367347,0.4530274652956765,0.5465688098624265,0.6718603634780737
Variance,0.12978597496717745,0.10375820456282235,0.1857529222999255,0.012244897959183673,0.07031219558517525
Sim Entropy,0.04039695909574397,0.1511438412923003,0.02175484675584713,0.04653061224489796,0.015716843719039173
Rep Entropy,0.1813565610468506,0.05473858035991416,0.18073257304857615,0.21306122448979592,0.19770134993949276
SPECtrum,0.2587124401663603,0.0890523173019499,0.26775196007196467,0.1853061224489796,0.2638775340196577
Lap Score,0.1160338186792646,0.07271244256764715,0.1204883820323841,0.11020408163265306,0.11828992904329483
Mutual Corre,0.22948910805454556,0.03513073067875088,0.17069187454587748,0.25551020408163266,0.19770134993949276
MICI,0.13322401403915568,0.12336605424398565,0.1924467213017246,0.007346938775510204,0.08189302779920411
MDCM,0.28621675274218605,0.0825163674082288,0.26273161082061536,0.29469387755102044,0.2622231294176536
Linear Depend,0.2827787136702078,0.07107845509421688,0.2861599073269122,0.2522448979591837,0.2704951524276742
MPMR,0.2741836159902623,0.17565365339375438,0.27779265857466334,0.24244897959183673,0.26718634322366597
MCFS,0.38248184675757596,0.10212421708939208,0.42003588736289454,0.3142857142857143,0.3631418101399051
RSPCA,0.20370381501470897,0.2181373277029415,0.23930331431431842,0.16081632653061226,0.20266456374550512
ANOVA F,0.808798691682874,0.3210785385290487,0.8116231289681429,0.7159183673469388,0.8263750987010597
ReliefF,0.45124262819714017,0.02859478078502978,0.4417907341187417,0.38285714285714284,0.4342812080260824
Info Gain,0.7056575195235277,0.4142158245145743,0.6877878474348592,0.6620408163265306,0.7254564179788081
MRMR,0.7881704572510048,0.3390524007367817,0.788194832461846,0.7338775510204082,0.829683907905068
ERFS,0.7984845744669394,0.40277791220056236,0.7647665359555491,0.7322448979591837,0.7883237928549648
Variance,0.002454999214826592,0.03022876825846006,0.1023756517344313,0.06707580487676743,0.08927156831242411
Sim Entropy,0.18085160882555895,0.3178105635821882,0.18263816269422545,0.2928431481205212,0.19901826697173447
Rep Entropy,0.06464831265710026,0.21323536528265066,0.022113140774637163,0.08670774776752863,0.0827195266014205
SPECtrum,0.27086824670253395,0.09885624214253154,0.35135323675256824,0.23721930993003112,0.321869049053052
Lap Score,0.1301149583858094,0.13153599161113702,0.2285024546712507,0.016359952408967666,0.11711774558418941
Mutual Corre,0.17103161196625258,0.2933007514807341,0.16298203756121463,0.2192233622801667,0.21539837124924346
MICI,0.007364997644479776,0.020424843417878417,0.09254758916792591,0.060531823913180356,0.0827195266014205
MDCM,0.00409166535804432,0.1250000417174159,0.049959318046402475,0.029447914336141797,0.033579213768893466
Linear Depend,0.05155498351135843,0.06617649267392607,0.15151596456695834,0.08834374300842539,0.12858381857844572
MPMR,0.018821660647003875,0.020424843417878417,0.05487334932965518,0.03762789054062563,0.0827195266014205
MCFS,0.28723490813471125,0.06617649267392607,0.35954328889132275,0.24376329089361817,0.2497965902320124
RSPCA,0.12847829224259166,0.051470605413053615,0.24815857980426148,0.11288367162187689,0.19738025654398356
ANOVA F,0.7094947730848851,0.4550655113503312,0.7264576247075245,0.6707580487676742,0.7002494578635101
ReliefF,0.3297882278583722,0.11519611687683429,0.41195962257935154,0.2830271766751406,0.39394150787409166
Info Gain,0.6849447809366191,0.4812093109252155,0.6674892493084922,0.6822100154539517,0.6314530198979723
MRMR,0.7569580912381992,0.484477285872076,0.7477517602682863,0.6969339726220226,0.7215435934242719
ERFS,0.740591429806022,0.6315361584808006,0.6560231763142359,0.76400977749879,0.7690458958290479
Variance,0.08748989621777035,0.12739894896300658,0.12269964306725749,0.09971401036893716,0.12330757235323629
Sim Entropy,0.2215865595795866,0.17313190500100892,0.2633952337843794,0.18635077347637438,0.21702132734169588
Rep Entropy,0.0989371723584132,0.019599838302001012,0.11779165734456719,0.05884761267674981,0.10851066367084794
