,Linear,ridge,LASSO,Gradient,randomfroest
Variance,0.0,0.0,0.0,0.0,0.0
Sim Entropy,0.8826040292072385,0.8813461216022433,0.8840921369609621,0.9641240356244086,0.9680545941024127
Rep Entropy,0.916297054861583,0.9170154552524408,0.9480964170865864,0.9179709192410668,0.9513263751115585
Lap Score,0.0,0.0,0.0,0.0,0.0
SPECtrum,0.0,0.0,0.0,0.0,0.0
Mutual Corre,0.8826040292072372,0.8813461216022433,0.8842971436384306,0.9634271249428609,0.9700822031037609
MICI,0.923515935122025,0.9231179199242842,0.9289378923202006,0.9846662591776475,0.9763007106674836
MDCM,0.0,0.0,0.0,0.0,0.0
Linear Depend,0.9243534048444804,0.927844524877694,0.9432338661666153,0.9077424810438812,0.9134884028608087
MPMR,0.923515935122025,0.9231179199242842,0.9289378923202006,0.9846662591776475,0.9763007106674836
MCFS,0.0,0.0,0.0,0.0,0.0
RSPCA,0.0,0.0,0.0,0.0,0.0
ANOVA F,0.9567025682627099,0.9565441226285172,0.9360620157073507,0.9577502358600317,0.9734841962478251
ReliefF,0.9417922162563294,0.9428653789021527,0.992220788696703,0.9886296983525954,0.9724748460143547
Info Gain,0.9677244394685954,0.9658642846923335,0.9506749221464728,0.9602728302390373,0.9645802373679956
MRMR,0.9975306796207987,0.9968448677808731,0.9528161484403274,0.9624731711217763,0.985314346463694
ERFS,1.0,1.0,1.0,0.9677799432416644,0.9564799651313526
