,LNR,RDR,LSR,GBR,GFR
MPMR,0.231404562,0.230060024,0.235630252,0.271932773,0.299303721
MCFS,0.080912365,0.085234094,0.078415366,0.0242497,0.025498199
RSPCA,0.27759904,0.275678271,0.279615846,0.297190876,0.31937575
ANOVA F,0.835006002,0.831548619,0.793901561,0.852773109,0.838655462
ReliefF,0.50482593,0.498679472,0.508763505,0.598367347,0.570036014
Info Gain,0.428667467,0.423481393,0.425978391,0.515678271,0.506746699
MRMR,0.863433373,0.86122449,0.823673469,0.875630252,0.853253301
ERFS,0.959855942,0.959759904,0.937286915,0.905882353,0.907034814
Variance,0.290372149,0.298343337,0.186554622,0.393421369,0.39755102
Sim Entropy,0.148331333,0.150252101,0.118751501,0.192605042,0.185498199
Rep Entropy,0.018103241,0.008115246,0.019831933,0.010420168,0.067082833
SPECtrum,0.042208884,0.039231693,0.025690276,0.049603842,0.042977191
Lap Score,0.072364946,0.071692677,0.034813926,0.063433373,0.127587035
Mutual Corre,0.252629052,0.258391357,0.194141657,0.31937575,0.320144058
MICI,0.350492197,0.358367347,0.262713085,0.413109244,0.423673469
MDCM,0.181464586,0.170516206,0.102040816,0.193181273,0.189339736
Linear Depend,0.220264106,0.229195678,0.114141657,0.305642257,0.333397359
MPMR,0.30545018,0.313517407,0.202496999,0.419543818,0.421080432
MCFS,0.071404562,0.068523409,0.07755102,0.136710684,0.174069628
RSPCA,0.290948379,0.29939976,0.189531813,0.377286915,0.380072029
ANOVA F,0.770564226,0.770756303,0.710444178,0.813877551,0.773445378
ReliefF,0.598079232,0.600096038,0.532388956,0.596638655,0.556494598
Info Gain,0.530372149,0.5357503,0.454693878,0.577527011,0.555918367
MRMR,0.805330132,0.806386555,0.75635054,0.835678271,0.784969988
ERFS,0.969651861,0.963505402,0.94545018,0.82847539,0.770564226
Variance,0.296806723,0.271260504,0.263769508,0.158895558,0.322833133
Sim Entropy,0.333493397,0.319759904,0.303913565,0.105882353,0.086962785
Rep Entropy,0.420120048,0.407346939,0.372388956,0.220456182,0.178679472
SPECtrum,0.210948379,0.228523409,0.166290516,0.05939976,0.181944778
Lap Score,0.002256903,0.024057623,0.049795918,0.002737095,0.004369748
Mutual Corre,0.162064826,0.165906363,0.129411765,0.016278511,0.245042017
MICI,0.130852341,0.103289316,0.128067227,0.084561825,0.298727491
MDCM,0.008211285,0.003601441,0.040864346,0.061896759,0.099351741
Linear Depend,0.153997599,0.125762305,0.133733493,0.055846339,0.211812725
MPMR,0.221608643,0.19452581,0.197214886,0.09090036,0.297671068
MCFS,0.053445378,0.037983193,0.053637455,0.028571429,0.012340936
RSPCA,0.319471789,0.294117647,0.275198079,0.160336134,0.298343337
ANOVA F,0.420888355,0.424345738,0.375558223,0.54180072,0.665882353
ReliefF,0.249171669,0.249555822,0.25090036,0.380168067,0.56907563
Info Gain,0.204801921,0.191356543,0.191260504,0.292196879,0.512220888
MRMR,0.422713085,0.431452581,0.380360144,0.596446579,0.679615846
ERFS,0.828955582,0.83270108,0.830396158,0.553229292,0.571188475
Variance,0.214309724,0.220168067,0.284705882,0.25090036,0.338967587
Sim Entropy,0.408979592,0.408403361,0.428763505,0.134213685,0.006962785
Rep Entropy,0.347515006,0.346458583,0.359327731,0.197791116,0.140072029
SPECtrum,0.269531813,0.2630012,0.196926771,0.181752701,0.072364946
Lap Score,0.148235294,0.155726291,0.200192077,0.141128451,0.12969988
Mutual Corre,0.290372149,0.287683073,0.263097239,0.048451381,0.072460984
MICI,0.038367347,0.041728691,0.138631453,0.207010804,0.280480192
MDCM,0.00062425,0.006098439,0.011188475,0.164177671,0.014933974
Linear Depend,0.24484994,0.248883553,0.312845138,0.110492197,0.329747899
MPMR,0.194813926,0.202016807,0.275390156,0.20240096,0.428955582
MCFS,0.245618247,0.243121248,0.205954382,0.012533013,0.031452581
RSPCA,0.25819928,0.264633854,0.314861945,0.257719088,0.296134454
ANOVA F,0.071404562,0.074669868,0.092917167,0.338871549,0.468331333
ReliefF,0.015318127,0.011092437,0.044033613,0.266938776,0.392172869
Info Gain,0.038367347,0.03270108,0.031836735,0.221896759,0.336278511
MRMR,0.111548619,0.117503001,0.131428571,0.42665066,0.549963986
ERFS,0.887923169,0.887442977,0.779207683,0.125378151,0.18060024
Variance,0.271546242,0.322983459,0.399298807,0.287395245,0.444828669
Sim Entropy,0.14727491,0.153997599,0.326482593,0.101464586,0.050564226
Rep Entropy,0.027130852,0.030876351,0.367010804,0.229003601,0.198943577
SPECtrum,0.285570228,0.292581032,0.070444178,0.220648259,0.269627851
Lap Score,0.104921969,0.083409364,0.113181273,0.173973589,0.058439376
Mutual Corre,0.211140456,0.227082833,0.216518607,0.055366146,0.07697479
MICI,0.259351741,0.292388956,0.184921969,0.166770708,0.300264106
MDCM,0.1030012,0.120768307,0.326002401,0.228811525,0.307659064
Linear Depend,0.193085234,0.246962785,0.233229292,0.04182473,0.366722689
MPMR,0.167539016,0.21997599,0.149387755,0.116926771,0.221896759
MCFS,0.108571429,0.112989196,0.032028812,0.034429772,0.01032413
RSPCA,0.003505402,0.00907563,0.373157263,0.1842497,0.252629052
ANOVA F,0.507515006,0.515486194,0.338679472,0.343577431,0.493589436
ReliefF,0.517118848,0.536902761,0.254453782,0.332244898,0.448739496
Info Gain,0.47515006,0.498295318,0.313037215,0.323409364,0.467563025
MRMR,0.627755102,0.642352941,0.299015606,0.429435774,0.563697479
ERFS,0.634765906,0.618247299,0.784777911,0.582521008,0.622184874
